,tQ,Q,Bar,P,CosPhi,timestamp
0,10/02/2022 12:07:57,0.0,0.0,0.0,0.0,2022-02-10 12:07:57
1,10/02/2022 12:08:57,0.0,0.0,0.0,0.0,2022-02-10 12:08:57
2,10/02/2022 12:09:57,0.0,0.0,0.0,0.0,2022-02-10 12:09:57
3,10/02/2022 12:10:57,0.0,0.0,0.0,0.0,2022-02-10 12:10:57
4,10/02/2022 12:28:07,0.0,0.0,0.0,0.0,2022-02-10 12:28:07
5,14/02/2022 10:18:23,0.0,0.0,0.0,0.0,2022-02-14 10:18:23
6,14/02/2022 10:33:23,0.0,0.0,0.0,0.0,2022-02-14 10:33:23
7,21/02/2022 11:31:10,0.0,0.0,0.0,0.0,2022-02-21 11:31:10
8,21/02/2022 11:46:10,0.0,0.0,0.0,0.0,2022-02-21 11:46:10
9,21/02/2022 13:23:59,0.0,0.0,0.0,0.0,2022-02-21 13:23:59
10,21/02/2022 13:38:59,0.0,0.0,0.0,0.0,2022-02-21 13:38:59
11,21/02/2022 13:53:59,0.0,0.0,0.0,0.0,2022-02-21 13:53:59
12,21/02/2022 15:55:42,0.0,0.0,0.0,0.0,2022-02-21 15:55:42
13,21/02/2022 16:10:42,0.0,0.0,0.0,0.0,2022-02-21 16:10:42
14,21/02/2022 16:25:42,0.0,0.0,0.0,0.0,2022-02-21 16:25:42
15,21/02/2022 16:40:42,0.0,0.0,0.0,0.0,2022-02-21 16:40:42
16,21/02/2022 16:55:42,0.0,0.0,0.0,0.0,2022-02-21 16:55:42
17,21/02/2022 17:10:42,0.0,0.0,0.0,0.0,2022-02-21 17:10:42
18,21/02/2022 17:25:42,0.0,0.0,0.0,0.0,2022-02-21 17:25:42
19,21/02/2022 17:40:42,0.0,0.0,0.0,0.0,2022-02-21 17:40:42
20,22/02/2022 08:55:33,0.0,0.0,0.0,0.0,2022-02-22 08:55:33
21,22/02/2022 09:10:33,0.0,0.0,0.0,0.0,2022-02-22 09:10:33
22,22/02/2022 11:16:21,0.0,0.0,0.0,0.0,2022-02-22 11:16:21
23,22/02/2022 13:47:16,0.0,0.0,0.0,0.0,2022-02-22 13:47:16
24,22/02/2022 14:02:16,0.0,0.0,0.0,0.0,2022-02-22 14:02:16
25,22/02/2022 14:17:16,0.0,0.0,0.0,0.0,2022-02-22 14:17:16
26,22/02/2022 14:32:16,0.0,0.0,0.0,0.0,2022-02-22 14:32:16
27,22/02/2022 14:47:16,0.0,0.0,0.0,0.0,2022-02-22 14:47:16
28,22/02/2022 15:02:16,0.0,0.0,0.0,0.0,2022-02-22 15:02:16
29,22/02/2022 15:17:16,0.0,0.0,0.0,0.0,2022-02-22 15:17:16
30,22/02/2022 15:32:16,0.0,0.0,0.0,0.0,2022-02-22 15:32:16
31,22/02/2022 15:47:16,0.0,0.0,0.0,0.0,2022-02-22 15:47:16
32,22/02/2022 16:02:16,0.0,0.0,0.0,0.0,2022-02-22 16:02:16
33,22/02/2022 16:17:16,0.0,0.0,0.0,0.0,2022-02-22 16:17:16
34,22/02/2022 16:32:16,0.0,0.0,0.0,0.0,2022-02-22 16:32:16
35,23/02/2022 09:18:38,0.0,0.0,0.0,0.0,2022-02-23 09:18:38
36,23/02/2022 09:33:38,0.0,0.0,0.0,0.0,2022-02-23 09:33:38
37,23/02/2022 09:48:38,0.0,0.0,0.0,0.0,2022-02-23 09:48:38
38,23/02/2022 10:14:21,0.0,0.0,0.0,0.0,2022-02-23 10:14:21
39,23/02/2022 10:29:21,0.0,0.0,0.0,0.0,2022-02-23 10:29:21
40,23/02/2022 10:44:21,0.0,0.0,0.0,0.0,2022-02-23 10:44:21
41,23/02/2022 10:59:21,0.0,0.0,0.0,0.0,2022-02-23 10:59:21
42,23/02/2022 11:14:21,0.0,0.0,0.0,0.0,2022-02-23 11:14:21
43,23/02/2022 11:29:21,0.0,0.0,0.0,0.0,2022-02-23 11:29:21
44,23/02/2022 11:44:21,0.0,0.0,0.0,0.0,2022-02-23 11:44:21
45,23/02/2022 11:59:21,0.0,0.0,0.0,0.0,2022-02-23 11:59:21
46,23/02/2022 12:14:21,0.0,0.0,0.0,0.0,2022-02-23 12:14:21
47,23/02/2022 13:34:08,0.0,0.0,0.0,0.0,2022-02-23 13:34:08
48,23/02/2022 13:49:08,0.0,0.0,0.0,0.0,2022-02-23 13:49:08
49,01/03/2022 08:03:32,0.0,0.0,0.0,0.0,2022-03-01 08:03:32
50,01/03/2022 08:18:32,0.0,0.0,0.0,0.0,2022-03-01 08:18:32
51,01/03/2022 08:33:32,0.0,0.0,0.0,0.0,2022-03-01 08:33:32
52,01/03/2022 08:48:32,0.0,0.0,0.0,0.0,2022-03-01 08:48:32
53,01/03/2022 09:03:32,0.0,0.0,0.0,0.0,2022-03-01 09:03:32
54,01/03/2022 09:18:32,0.0,0.0,0.0,0.0,2022-03-01 09:18:32
55,01/03/2022 09:33:32,0.0,0.0,0.0,0.0,2022-03-01 09:33:32
56,01/03/2022 09:48:32,0.0,0.0,0.0,0.0,2022-03-01 09:48:32
57,01/03/2022 10:03:32,0.0,0.0,0.0,0.0,2022-03-01 10:03:32
