t,I,TMod,P
2023-01-01 00:00:00,0.7,6.6,0.033
2023-01-01 00:15:00,0.6,6.6,0.333
2023-01-01 00:30:00,0.6,6.5,0.133
2023-01-01 00:45:00,0.6,6.5,0.1
2023-01-01 01:00:00,0.7,6.4,0
2023-01-01 01:15:00,0.7,6.4,0
2023-01-01 01:30:00,0.7,6.4,0
2023-01-01 01:45:00,0.7,6.3,0
2023-01-01 02:00:00,0.6,6.4,0.067
2023-01-01 02:15:00,0.7,6.4,0
2023-01-01 02:30:00,0.7,6.5,0
2023-01-01 02:45:00,0.6,6.5,0
2023-01-01 03:00:00,0.6,6.5,0
2023-01-01 03:15:00,0.6,6.5,0.233
2023-01-01 03:30:00,0.6,6.6,0.067
2023-01-01 03:45:00,0.6,6.7,0.733
2023-01-01 04:00:00,0.7,6.7,0.133
2023-01-01 04:15:00,0.7,6.7,0.033
2023-01-01 04:30:00,0.7,6.7,0.567
2023-01-01 04:45:00,0.6,6.7,0.2
2023-01-01 05:00:00,0.7,6.7,0
2023-01-01 05:15:00,0.7,6.8,0.3
2023-01-01 05:30:00,0.7,6.8,0.133
2023-01-01 05:45:00,0.7,6.8,0.6
2023-01-01 06:00:00,0.7,6.8,0.033
2023-01-01 06:15:00,0.7,6.8,0.067
2023-01-01 06:30:00,0.7,6.8,0.633
2023-01-01 06:45:00,0.7,6.8,0.033
2023-01-01 07:00:00,0.7,6.8,0.033
2023-01-01 07:15:00,0.6,6.8,0.367
2023-01-01 07:30:00,0.7,6.9,0.567
2023-01-01 07:45:00,0.8,6.9,0
2023-01-01 08:00:00,1.5,6.9,0
2023-01-01 08:15:00,2.5,6.9,0.533
2023-01-01 08:30:00,4.8,6.9,0
2023-01-01 08:45:00,7.2,7.1,0.233
2023-01-01 09:00:01,6.9,7.3,0.2
2023-01-01 09:15:00,5.1,6.9,0
2023-01-01 09:30:01,4.9,6.6,0
2023-01-01 09:45:00,5.5,6.4,0
2023-01-01 10:00:00,7,6.4,0.8
2023-01-01 10:15:00,10.6,6.6,0.6
2023-01-01 10:30:00,16.5,6.8,2.433
2023-01-01 10:45:00,NaN,8.4,8.4
2023-01-01 11:00:00,35.9,9.4,13.167
2023-01-01 11:15:00,39.2,NaN,13.267
2023-01-01 11:30:00,36.3,9.4,13.867
2023-01-01 11:45:00,34.7,8.9,13.667
2023-01-01 12:00:00,38.3,NaN,14.633
2023-01-01 12:15:00,38.4,10.2,10.667
2023-01-01 12:30:00,37.7,8.9,15.367
2023-01-01 12:45:00,38.7,9.4,15.833
2023-01-01 13:00:00,37.9,8.9,16.933
2023-01-01 13:15:00,39.8,9.5,16.067
2023-01-01 13:30:01,42.8,9.1,15.7
2023-01-01 13:45:00,32.8,9.6,14.1
2023-01-01 14:00:00,32.3,9.2,9.267
2023-01-01 14:15:00,28.1,9.5,6.6
2023-01-01 14:30:00,28.1,9.5,11.433
2023-01-01 14:45:00,25,9.1,12.467
2023-01-01 15:00:00,16.8,9,6.417
2023-01-01 15:15:00,12.4,8.7,0
2023-01-01 15:30:00,10.9,8.5,1.467
2023-01-01 15:45:00,9.9,8.5,0.033
2023-01-01 16:00:00,9.2,8.5,0
2023-01-01 16:15:00,6.9,8.5,0
2023-01-01 16:30:00,4.3,8.4,0.033
2023-01-01 16:45:00,2,8.3,0
2023-01-01 17:00:00,1.1,8.1,0.133
2023-01-01 17:15:00,0.8,8.1,0.033
2023-01-01 17:30:00,0.7,8.1,0.033
2023-01-01 17:45:00,0.7,8.1,0
2023-01-01 18:00:00,0.7,8.1,0.067
2023-01-01 18:15:00,0.7,8.1,0.833
2023-01-01 18:30:00,0.7,8.1,0.067
2023-01-01 18:45:00,0.6,8.1,0.167
2023-01-01 19:00:00,0.7,8,0.233
2023-01-01 19:15:00,0.7,7.9,0.567
2023-01-01 19:30:00,0.7,7.8,0.2
2023-01-01 19:45:00,0.8,7.8,0.1
2023-01-01 20:00:00,0.7,7.8,0
2023-01-01 20:15:00,0.7,7.8,0.067
2023-01-01 20:30:00,0.7,7.8,0.033
2023-01-01 20:45:00,0.7,7.8,0.133
2023-01-01 21:00:00,0.7,7.9,0.2
2023-01-01 21:15:00,0.7,8,0.133
2023-01-01 21:30:00,0.8,8,0.1
2023-01-01 21:45:00,0.7,8.1,0.667
2023-01-01 22:00:00,0.7,8.1,0.067
2023-01-01 22:15:00,0.7,8,0.233
2023-01-01 22:30:00,0.7,8,0
2023-01-01 22:45:00,0.7,7.9,0
2023-01-01 23:00:00,0.6,7.9,0
2023-01-01 23:15:00,0.6,7.8,0
2023-01-01 23:30:01,0.6,7.7,1.033
2023-01-01 23:45:00,0.6,7.6,0.1
2023-01-02 00:00:00,0.6,7.6,0.067
2023-01-02 00:15:00,0.6,7.7,0.1
2023-01-02 00:30:00,0.6,7.7,0.633
2023-01-02 00:45:00,0.6,7.7,0
2023-01-02 01:00:00,0.6,7.7,0
2023-01-02 01:15:00,0.6,7.7,1.267
2023-01-02 01:30:00,0.6,7.7,0.067
2023-01-02 01:45:00,0.6,7.7,0.067
2023-01-02 02:00:00,0.6,7.6,0.233
2023-01-02 02:15:00,0.6,7.6,0
2023-01-02 02:30:00,0.6,7.6,0.2
2023-01-02 02:45:00,0.6,7.7,0.1
2023-01-02 03:00:00,0.6,7.7,0.667
2023-01-02 03:15:00,0.6,7.7,0.167
2023-01-02 03:30:00,0.6,7.7,0
2023-01-02 03:45:00,0.5,7.7,0.467
2023-01-02 04:00:00,0.5,7.7,0.067
2023-01-02 04:15:00,0.5,7.7,0.333
