t,Q,Bar,P,CosPhi
2023-09-19 11:45:00.003,0.0,0.0,-0.8304,-0.572
2023-09-19 12:00:00.013,0.0,0.0,-0.8288,-0.5744
2023-09-19 12:15:00.017,0.0,0.0,-0.7984,-0.5705
2023-09-19 12:30:00.003,0.0,0.0,-0.3776,-0.5
2023-09-19 12:45:00.017,0.0,0.0,-0.3664,-0.4944
2023-09-19 13:00:00.010,0.0,0.0,-0.3552,-0.4534
2023-09-19 13:15:00.007,0.0,0.0,-0.3712,-0.4728
2023-09-19 13:30:00.003,0.0,0.0,-0.3728,-0.4467
2023-09-19 13:45:00.003,0.0,0.0,-0.3664,-0.4788
2023-09-19 14:00:00.010,0.0,0.0,-0.3776,-0.4761
2023-09-19 14:15:00.007,0.0,0.0,-0.3888,-0.4728
2023-09-19 14:30:00.010,0.0,0.0,-0.792,-0.5715
2023-09-19 14:45:00.003,0.0,0.0,-0.784,-0.5628
2023-09-19 15:00:00.017,0.0,0.0,-0.8224,-0.5786
2023-09-19 15:15:00.017,0.0,0.0,-0.7904,-0.5713
2023-09-19 15:30:00.013,0.0,0.0,-0.776,-0.5562
2023-09-19 15:45:00.017,0.0,0.0,-0.6,-0.4713
2023-09-19 16:00:00.013,0.0,0.0,-0.5936,-0.4654
2023-09-19 16:15:00.000,0.0,0.0,-0.6224,-0.4771
2023-09-19 16:30:00.003,0.0,0.0,-0.608,-0.4765
2023-09-19 16:45:00.010,0.0,0.0,-0.5952,-0.4574
2023-09-19 17:00:00.003,0.0,0.0,-0.6112,-0.4752
2023-09-19 17:15:00.013,0.0,0.0,-0.6304,-0.4796
2023-09-19 17:30:00.013,0.0,0.0,-0.6208,-0.4812
2023-09-19 17:45:00.017,0.0,0.0,-0.6224,-0.4717
2023-09-19 18:00:00.007,0.0,0.0,-0.6112,-0.4708
2023-09-19 18:15:00.000,0.0,0.0,0.0,-0.2987
2023-09-19 18:30:00.017,0.0,0.0,-0.2416,-0.2865
2023-09-19 18:45:00.003,0.0,0.0,-0.2432,-0.3065
2023-09-19 19:00:00.007,0.0,0.0,-0.2464,-0.3105
2023-09-19 19:15:00.003,0.0,0.0,-0.2416,-0.3042
2023-09-19 19:30:00.013,0.0,0.0,0.0,-0.3016
2023-09-19 19:45:00.007,0.0,0.0,0.0,-0.2971
2023-09-19 20:00:00.017,0.0,0.0,-0.2432,-0.2768
2023-09-19 20:15:00.003,0.0,0.0,0.0,-0.2987
2023-09-19 20:30:00.017,0.0,0.0,-0.2416,-0.2894
