timestamp,Portata [l/s],Pressione [bar],Potenza [kW],Cosphi
2022-02-10 13:49:44,89.21564,26.80837,175.7406,0.9962594
2022-02-10 14:04:45,89.45162,26.81746,172.0556,0.9978133
2022-02-10 14:19:44,90.07911,26.77749,177.0918,0.9946943
2022-02-10 14:34:45,90.22928,26.79384,175.9782,0.9967923
2022-02-10 14:49:45,89.67687,26.81382,176.6139,0.995002
2022-02-10 15:04:44,68.94838,27.54962,129.3939,0.9971101
2022-02-10 15:19:45,50.14526,28.19094,110.2445,0.9756659
2022-02-10 15:34:44,57.28894,27.85484,125.7856,0.994675
2022-02-10 15:49:44,92.1171,26.71753,180.5143,0.9902598
2022-02-10 16:04:45,91.46816,26.7248,179.8664,0.9953536
2022-02-10 16:19:44,90.17028,26.78294,175.2885,0.9969386
2022-02-10 16:34:45,89.77878,26.78657,179.3804,0.9971303
2022-02-10 16:49:45,90.74414,26.7793,178.3379,0.9965964
2022-02-10 17:04:45,90.81386,26.76295,177.5818,0.9898691
2022-02-10 17:19:45,90.31509,26.78294,177.5802,0.992436
2022-02-10 17:34:44,90.07911,26.79384,177.6688,0.9880903
2022-02-10 17:49:44,91.16782,26.74842,181.9843,0.9895456
2022-02-10 18:04:44,91.59688,26.7357,179.0459,0.9926445
2022-02-10 18:19:45,90.5457,26.77022,177.9989,0.9916142
2022-02-10 18:34:44,89.55352,26.82109,177.4082,0.9941368
2022-02-10 18:49:45,90.16492,26.79202,178.1107,0.9356666
2022-02-10 19:04:44,91.02302,26.77385,179.5176,0.9858162
2022-02-10 19:19:44,90.81922,26.76295,179.418,0.9970003
2022-02-10 19:34:44,90.13811,26.79566,178.3948,0.9987777
2022-02-10 19:49:45,90.72805,26.75569,181.9633,0.9987519
2022-02-10 20:04:44,89.95576,26.79202,177.4926,0.9991986
2022-02-10 20:19:45,90.42771,26.78476,177.0415,0.9995758
2022-02-10 20:34:44,89.60715,26.80837,176.4793,0.9996635
2022-02-10 20:49:44,90.77631,26.73389,181.7612,0.9628934
2022-02-10 21:04:45,90.03084,26.79021,178.3086,0.9656328
2022-02-10 21:19:44,91.27509,26.7466,178.2119,0.9327447
2022-02-10 21:34:45,90.78168,26.76659,178.8397,0.9454086
2022-02-10 21:49:44,90.8514,26.76295,179.7564,0.9537572
2022-02-10 22:04:45,90.07375,26.79021,177.5813,0.9630194
2022-02-10 22:19:45,90.27218,26.77385,177.2616,0.9637742
2022-02-10 22:34:45,89.32291,26.82473,173.038,0.9531244
2022-02-10 22:49:45,90.03084,26.78657,176.516,0.9577073
2022-02-10 23:04:44,89.23174,26.67938,175.2107,0.9768638
2022-02-10 23:19:44,90.94257,26.7466,176.9519,0.965691
2022-02-10 23:34:44,90.32581,26.77385,177.2697,0.9739711
2022-02-10 23:49:45,89.60179,26.80474,176.9702,0.9660871
2022-02-11 00:04:44,90.56179,26.77567,178.9435,0.9759206
2022-02-11 00:19:45,89.89677,26.79566,176.2638,0.9847157
2022-02-11 00:34:44,91.09274,26.73752,179.5481,0.9882943
2022-02-11 00:49:44,89.83241,26.78839,174.9456,0.9848518
2022-02-11 01:04:45,89.81095,26.79747,174.9447,0.985645
2022-02-11 01:19:44,90.51353,26.76114,178.512,0.9964327
2022-02-11 01:34:44,90.45453,26.77204,179.3502,0.9978527
2022-02-11 01:49:45,89.53744,26.81019,177.9582,0.998305
2022-02-11 02:04:45,89.73051,26.80293,177.8169,0.9955902
2022-02-11 02:19:44,90.08447,26.79202,175.6337,0.9975384
2022-02-11 02:34:44,91.15173,26.75569,176.7142,0.9978243
2022-02-11 02:49:45,89.93967,26.78112,176.2154,0.9970971
2022-02-11 03:04:44,90.47598,26.76841,176.9754,0.9939848
2022-02-11 03:19:45,90.93721,26.73934,179.5159,0.99582
2022-02-11 03:34:44,90.61543,26.7575,176.9642,0.9982525
2022-02-11 03:49:45,89.53744,26.79929,176.4751,0.9962584
2022-02-11 04:04:45,89.56425,26.79566,176.9334,0.9973044
2022-02-11 04:19:44,89.7466,26.79021,177.3697,0.9939166
2022-02-11 04:34:44,89.88068,26.79566,177.0573,0.9900963
2022-02-11 04:49:45,89.85922,26.79202,175.8226,0.9846999
2022-02-11 05:04:44,89.74123,26.78839,175.3657,0.9682376
2022-02-11 05:19:44,89.6447,26.79747,176.7261,0.9677134
2022-02-11 05:34:44,90.5028,26.76841,177.5265,0.964633
2022-02-11 05:49:45,89.04939,26.82291,175.9245,0.9983305
2022-02-11 06:04:44,89.57497,26.79747,174.6973,0.9962755
2022-02-11 06:19:44,89.97185,26.78112,178.2548,0.9990072
2022-02-11 06:34:45,89.95039,26.78476,175.543,0.9987662
2022-02-11 06:49:44,88.86704,26.82473,175.1827,0.9987245
2022-02-11 07:04:45,89.7895,26.79747,176.4047,0.9986392
2022-02-11 07:19:45,90.21319,26.76659,177.4751,0.9995897
