t,PAC_PV,P_BESS,P_Grid,IBat,TBat,VBat,Soc,FreqIn,FreqOut,nCicli,Assorbita,Consumata
2023-06-26 00:00:00,13.3125,-247.605,-9001.18,-3.7,37.0,48.58,18.0,50.1046,50.02,44,9262.0975,9142.42
2023-06-26 00:05:00,16.125,-275.22,-9137.36,-4.5,36.9,48.58,18.0,50.1046,50.02,44,9428.705,9306.16
2023-06-26 00:10:00,16.125,-253.943,-9900.98,-1.8,36.9,48.58,18.0,50.1046,50.1479,44,10171.048,10055.5
2023-06-26 00:15:00,13.547,-234.023,-9482.85,-5.1,36.8,48.57,18.0,50.1046,50.2765,44,9730.42,9604.98
2023-06-26 00:20:00,13.125,-248.335,-9234.26,-6.5,36.7,48.57,18.0,50.1046,50.1479,44,9495.72,9367.47
2023-06-26 00:25:00,15.8438,-253.685,-8973.4,-2.2,36.6,48.56,18.0,50.1046,50.1479,44,9242.9288,9135.11
2023-06-26 00:30:00,16.0871,-431.989,-8955.12,-2.0,36.5,48.54,18.0,50.1046,50.2765,44,9403.1961,9275.39
2023-06-26 00:35:00,13.9688,-163.539,-8741.57,-2.3,36.4,48.56,18.0,50.1046,50.1479,44,8919.077800000001,8814.0
2023-06-26 00:40:00,13.6354,-350.342,-8892.53,-6.7,36.4,48.54,18.0,50.1046,50.2765,44,9256.5074,9136.02
2023-06-26 00:45:00,16.5694,-321.964,-9054.03,-24.5,36.3,48.5,18.0,50.1046,50.2765,44,9392.5634,9264.2
2023-06-26 00:50:00,16.0871,-302.404,-9035.58,-7.1,36.2,48.51,17.0,50.1046,50.2765,44,9354.0711,9217.15
2023-06-26 00:55:00,13.0313,-332.968,-9210.92,-1.3,36.1,48.52,17.0,50.1046,50.2765,44,9556.9193,9416.86
2023-06-26 01:00:00,13.5,-201.192,-8894.2,-6.0,36.0,48.52,17.0,50.1046,50.1479,44,9108.892,8988.76
2023-06-26 01:05:00,16.125,-307.469,-8790.59,-2.9,35.9,48.51,17.0,50.1046,50.2765,44,9114.184,8989.29
2023-06-26 01:10:00,15.993,-234.716,-9096.63,16.8,35.9,48.52,17.0,50.1046,50.2765,44,9347.339,9238.13
2023-06-26 01:15:00,13.5,-285.612,-8683.72,-2.7,35.8,48.5,17.0,50.1046,50.1479,44,8982.831999999999,8864.83
2023-06-26 01:20:00,13.5938,-302.771,-8386.77,-2.4,35.7,48.49,17.0,50.1046,50.1479,44,8703.134800000002,8588.04
2023-06-26 01:25:00,16.0871,-203.022,-8478.91,-31.1,35.6,48.46,17.0,50.1046,50.2765,44,8698.019100000001,8580.64
2023-06-26 01:30:00,16.0313,-256.546,-8505.4,-1.8,35.5,48.49,17.0,50.1046,50.2765,44,8777.9773,8666.22
2023-06-26 01:35:00,13.3125,-264.909,-8337.16,-1.8,35.4,48.47,17.0,50.1046,50.1479,44,8615.3815,8524.98
2023-06-26 01:40:00,6.88194,-285.658,-8646.93,-70.1,35.4,48.39,17.0,50.1046,50.1479,44,8939.469939999999,8818.57
2023-06-26 01:45:00,16.1812,-300.168,-8672.54,-2.0,35.3,48.46,17.0,50.1046,50.1479,44,8988.889200000001,8846.11
2023-06-26 01:50:00,16.125,-258.006,-8658.46,-2.3,35.2,48.45,17.0,50.1046,50.1479,44,8932.590999999999,8815.51
2023-06-26 01:55:00,13.125,-328.512,-8796.05,-2.5,35.1,48.44,17.0,50.1046,50.1479,44,9137.687,9012.56
2023-06-26 02:00:00,13.9688,-28.7785,-8761.75,0.0,35.0,48.48,16.0,50.1046,50.1479,44,8804.4973,8754.67
2023-06-26 02:05:00,16.2753,-9.35946,-8609.16,-0.2,34.9,48.49,16.0,50.1046,50.2765,44,8634.794759999999,8588.97
2023-06-26 02:10:00,15.6563,-9.53123,-8582.15,-0.2,34.9,48.5,16.0,50.1046,50.2765,44,8607.33753,8561.17
2023-06-26 02:15:00,13.125,-1.65035,-8601.04,0.0,34.8,48.51,16.0,50.1046,50.1479,44,8615.81535,8578.45
2023-06-26 02:20:00,13.2708,0.0,-8590.67,0.0,34.7,48.51,16.0,50.1046,50.1479,44,8603.9408,8569.5
2023-06-26 02:25:00,15.1667,0.0,-8725.77,0.0,34.6,48.52,16.0,50.1046,50.1479,44,8740.9367,8706.71
2023-06-26 02:30:00,15.0383,0.0,-8830.48,0.0,34.5,48.52,16.0,50.1046,50.1479,44,8845.5183,8811.45
2023-06-26 02:35:00,13.2708,0.0,-9509.52,0.0,34.4,48.52,16.0,50.1046,50.1479,44,9522.7908,9488.48
2023-06-26 02:40:00,12.6389,0.0,-8980.17,0.0,34.4,48.52,16.0,50.1046,50.2765,44,8992.8089,8958.85
2023-06-26 02:45:00,14.0833,0.0,-8870.26,0.0,34.3,48.52,16.0,50.1046,50.1479,44,8884.3433,8850.86
2023-06-26 02:50:00,15.1289,0.0,-8766.14,0.0,34.2,48.52,16.0,50.1046,50.2765,44,8781.2689,8747.25
2023-06-26 02:55:00,14.9861,0.0,-8635.66,0.0,34.1,48.52,16.0,50.1046,50.2765,44,8650.6461,8616.72
2023-06-26 03:00:00,13.125,0.0,-8673.33,0.0,34.1,48.53,16.0,50.1046,50.2765,44,8686.455,8652.48
2023-06-26 03:05:00,13.5,0.0,-8730.44,0.0,34.0,48.53,16.0,50.1046,50.1479,44,8743.94,8709.85
2023-06-26 03:10:00,15.9375,0.0,-8701.63,0.0,33.9,48.53,16.0,50.1046,50.1479,44,8717.5675,8683.45
2023-06-26 03:15:00,15.9375,0.0,-8752.34,0.0,33.8,48.53,16.0,50.1046,50.2765,44,8768.2775,8734.54
2023-06-26 03:20:00,13.7352,0.0,-8454.45,0.0,33.8,48.53,16.0,50.1046,50.2765,44,8468.1852,8434.58
2023-06-26 03:25:00,13.0313,0.0,-8364.18,0.0,33.7,48.53,16.0,50.1046,50.02,44,8377.2113,8343.61
2023-06-26 03:30:00,15.375,0.0,-8332.59,0.0,33.6,48.53,16.0,50.1046,50.2765,44,8347.965,8313.91
2023-06-26 03:35:00,16.2708,0.0,-8069.38,0.0,33.6,48.53,16.0,50.1046,50.1479,44,8085.6508,8051.78
2023-06-26 03:40:00,14.3403,0.0,-7863.69,0.0,33.5,48.53,16.0,50.1046,50.1479,44,7878.030299999999,7844.66
2023-06-26 03:45:00,13.125,0.0,-7921.69,0.0,33.4,48.53,16.0,50.1046,50.2765,44,7934.815,7901.57
2023-06-26 03:50:00,17.0105,0.0,-8386.46,0.0,33.4,48.53,16.0,50.1046,50.1479,44,8403.4705,8369.88
2023-06-26 03:55:00,16.1597,0.0,-8415.31,0.0,33.3,48.53,16.0,50.1046,50.1479,44,8431.4697,8398.59
2023-06-26 04:00:00,13.3125,0.0,-8257.55,0.0,33.2,48.53,16.0,50.3629,50.1479,44,8270.8625,8237.45
2023-06-26 04:05:00,14.6007,0.0,-8082.31,0.0,33.1,48.53,16.0,50.1046,50.1479,44,8096.9107,8063.9
2023-06-26 04:10:00,15.5,0.0,-8184.29,0.0,33.1,48.53,16.0,50.1046,50.1479,44,8199.79,8166.88
2023-06-26 04:15:00,15.1289,0.0,-8141.21,0.0,33.0,48.53,16.0,50.1046,50.1479,44,8156.3389,8123.37
2023-06-26 04:20:00,12.8194,0.0,-8284.35,0.0,32.9,48.53,16.0,50.1046,50.1479,44,8297.1694,8265.58
2023-06-26 04:25:00,12.6389,0.0,-7898.92,0.0,32.9,48.53,16.0,50.1046,50.1479,44,7911.5589,7879.57
2023-06-26 04:30:00,15.6563,0.0,-7931.54,0.0,32.8,48.53,16.0,50.1046,50.2765,44,7947.1963,7915.28
2023-06-26 04:35:00,15.6132,0.0,-7952.09,0.0,32.7,48.53,16.0,50.1046,50.1479,44,7967.7032,7936.16
2023-06-26 04:40:00,13.9028,0.0,-7990.77,0.0,32.7,48.53,16.0,50.1046,50.1479,44,8004.6728,7972.69
2023-06-26 04:45:00,12.6389,0.0,-8259.63,0.0,32.6,48.53,16.0,50.1046,50.1479,44,8272.2689,8240.69
2023-06-26 04:50:00,15.4444,0.0,-8339.26,0.0,32.6,48.52,16.0,50.1046,50.1479,44,8354.7044,8324.15
2023-06-26 04:55:00,14.9861,0.0,-9025.32,0.0,32.5,48.52,16.0,50.1046,50.1479,44,9040.3061,9010.01
2023-06-26 05:00:00,14.4948,0.0,-8410.86,0.0,32.4,48.52,16.0,50.1046,50.1479,44,8425.354800000001,8395.82
2023-06-26 05:05:00,13.3681,0.0,-8195.65,0.0,32.4,48.52,16.0,50.1046,50.2765,44,8209.0181,8178.39
2023-06-26 05:10:00,15.0,0.0,-8181.92,0.0,32.3,48.52,16.0,50.1046,50.1479,44,8196.92,8165.45
2023-06-26 05:15:00,15.8438,0.0,-7979.61,0.0,32.2,48.52,16.0,50.1046,50.1479,44,7995.453799999999,7963.73
2023-06-26 05:20:00,14.9063,0.0,-7949.91,0.0,32.2,48.52,16.0,50.1046,50.02,44,7964.816299999999,7933.15
2023-06-26 05:25:00,12.9268,0.0,-7690.33,0.0,32.1,48.52,16.0,50.1046,50.1479,44,7703.2568,7671.1
2023-06-26 05:30:00,13.0903,0.0,-7580.14,0.0,32.1,48.52,16.0,50.1046,50.1479,44,7593.2303,7560.82
2023-06-26 05:35:00,11.1944,0.0,-7856.4,0.0,32.0,48.52,16.0,50.1046,50.02,44,7867.5944,7834.78
2023-06-26 05:40:00,14.0833,0.0,-7814.29,0.0,31.9,48.52,16.0,50.1046,50.4058,44,7828.3733,7795.31
2023-06-26 05:45:00,14.875,0.0,-8123.69,0.0,31.9,48.52,16.0,50.1046,50.2765,44,8138.565,8104.79
2023-06-26 05:50:00,17.6585,0.0,-8233.17,0.0,31.8,48.52,16.0,50.1046,50.02,44,8250.8285,8217.88
2023-06-26 05:55:00,15.0694,0.0,-8201.44,0.0,31.8,48.52,16.0,50.1046,50.2765,44,8216.5094,8182.69
