0,PRESSIONE ACQUA DI LINEA [EW166],PRESSIONE ACQUA TURBINA [EW164],G1 : Potenza attiva prodotta Turbina [STRUMENTO],MISURATORE DI PORTATA [EW168],1,2,3
01/12/2024 23:00:00,33.4685,32.5781,0.0,99.8119,ND,ND,02/12/2024 00:00:00
01/12/2024 23:15:00,33.4931,32.6056,0.0,99.8336,ND,ND,02/12/2024 00:15:00
01/12/2024 23:30:00,33.512,32.6056,0.0,99.8517,ND,ND,02/12/2024 00:30:00
01/12/2024 23:45:00,33.5403,32.6461,0.0,99.8372,ND,ND,02/12/2024 00:45:00
02/12/2024 00:00:00,33.6184,32.7445,0.0,99.8336,ND,ND,02/12/2024 01:00:00
02/12/2024 00:15:00,33.4712,32.5781,0.0,99.8481,ND,ND,02/12/2024 01:15:00
02/12/2024 00:30:00,33.4562,32.5694,0.0,99.8481,ND,ND,02/12/2024 01:30:00
02/12/2024 00:45:00,33.4748,32.5767,0.0,99.83,ND,ND,02/12/2024 01:45:00
02/12/2024 01:00:00,33.4449,32.5246,0.0,99.8445,ND,ND,02/12/2024 02:00:00
02/12/2024 01:15:00,33.4738,32.5897,0.0,99.8662,ND,ND,02/12/2024 02:15:00
02/12/2024 01:30:00,33.4533,32.5752,0.0,99.8481,ND,ND,02/12/2024 02:30:00
02/12/2024 01:45:00,33.4514,32.5622,0.0,99.8155,ND,ND,02/12/2024 02:45:00
02/12/2024 02:00:00,33.4821,32.5767,0.0,99.8264,ND,ND,02/12/2024 03:00:00
02/12/2024 02:15:00,33.458,32.5564,0.0,99.8445,ND,ND,02/12/2024 03:15:00
02/12/2024 02:30:00,33.4519,32.555,0.0,99.8481,ND,ND,02/12/2024 03:30:00
02/12/2024 02:45:00,33.6116,32.7156,0.0,99.83,ND,ND,02/12/2024 03:45:00
02/12/2024 03:00:00,33.5469,32.6403,0.0,99.8517,ND,ND,02/12/2024 04:00:00
02/12/2024 03:15:00,33.5405,32.6288,0.0,99.8553,ND,ND,02/12/2024 04:15:00
02/12/2024 03:30:00,33.6189,32.7185,0.0,99.8517,ND,ND,02/12/2024 04:30:00
02/12/2024 03:45:00,33.3142,32.4002,0.0,99.8336,ND,ND,02/12/2024 04:45:00
02/12/2024 04:00:00,33.4246,32.5087,0.0,99.8445,ND,ND,02/12/2024 05:00:00
02/12/2024 04:15:00,33.4231,32.5391,0.0,99.8336,ND,ND,02/12/2024 05:15:00
02/12/2024 04:30:00,33.2768,32.3524,0.0,99.8155,ND,ND,02/12/2024 05:30:00
02/12/2024 04:45:00,33.1116,32.2078,0.0,99.8517,ND,ND,02/12/2024 05:45:00
02/12/2024 05:00:00,33.1969,32.2743,0.0,99.8264,ND,ND,02/12/2024 06:00:00
02/12/2024 05:15:00,33.1561,32.2367,0.0,99.8553,ND,ND,02/12/2024 06:15:00
02/12/2024 05:30:00,33.1575,32.2425,0.0,99.8372,ND,ND,02/12/2024 06:30:00
02/12/2024 05:45:00,33.2944,32.3857,0.0,99.8192,ND,ND,02/12/2024 06:45:00
02/12/2024 06:00:00,33.2381,32.3322,0.0,99.8517,ND,ND,02/12/2024 07:00:00
02/12/2024 06:15:00,33.0927,32.1803,0.0,99.8517,ND,ND,02/12/2024 07:15:00
02/12/2024 06:30:00,33.178,32.2497,0.0,99.8626,ND,ND,02/12/2024 07:30:00
02/12/2024 06:45:00,32.9757,32.0472,0.0,99.8553,ND,ND,02/12/2024 07:45:00
02/12/2024 07:00:00,33.068,32.1846,0.0,99.8481,ND,ND,02/12/2024 08:00:00
02/12/2024 07:15:00,33.0177,32.0906,0.0,99.83,ND,ND,02/12/2024 08:15:00
02/12/2024 07:30:00,32.9764,32.0718,0.0,99.8445,ND,ND,02/12/2024 08:30:00
02/12/2024 07:45:00,33.1195,32.1846,0.0,99.8372,ND,ND,02/12/2024 08:45:00
02/12/2024 08:00:00,32.8481,31.9488,0.0,99.8517,ND,ND,02/12/2024 09:00:00
02/12/2024 08:15:00,32.9833,32.079,0.0,99.8264,ND,ND,02/12/2024 09:15:00
02/12/2024 08:30:00,32.9459,32.0385,0.0,99.8445,ND,ND,02/12/2024 09:30:00
02/12/2024 08:45:00,32.9903,32.1079,0.0,99.8481,ND,ND,02/12/2024 09:45:00
02/12/2024 09:00:00,32.9606,32.0978,0.0,99.8192,ND,ND,02/12/2024 10:00:00
02/12/2024 09:15:00,32.8335,31.9878,0.0,99.8517,ND,ND,02/12/2024 10:15:00
02/12/2024 09:30:00,32.9677,32.1224,0.0,99.8445,ND,ND,02/12/2024 10:30:00
02/12/2024 09:45:00,32.9703,32.1267,0.0,99.8481,ND,ND,02/12/2024 10:45:00
02/12/2024 10:00:00,33.0225,32.1658,0.0,99.8481,ND,ND,02/12/2024 11:00:00
02/12/2024 10:15:00,32.8011,31.9488,0.0,99.8336,ND,ND,02/12/2024 11:15:00
02/12/2024 10:30:00,32.89,32.0211,0.0,99.8155,ND,ND,02/12/2024 11:30:00
02/12/2024 10:45:00,33.0386,32.1759,0.0,99.8445,ND,ND,02/12/2024 11:45:00
02/12/2024 11:00:00,32.89,32.0182,0.0,99.8264,ND,ND,02/12/2024 12:00:00
02/12/2024 11:15:00,32.8758,32.0052,0.0,99.83,ND,ND,02/12/2024 12:15:00
02/12/2024 11:30:00,32.9213,32.053,0.0,99.83,ND,ND,02/12/2024 12:30:00
02/12/2024 11:45:00,33.1483,32.3249,0.0,99.8445,ND,ND,02/12/2024 12:45:00
02/12/2024 12:00:00,32.7498,31.8808,0.0,99.8011,ND,ND,02/12/2024 13:00:00
02/12/2024 12:15:00,32.7978,31.9604,0.0,99.8517,ND,ND,02/12/2024 13:15:00
02/12/2024 12:30:00,32.8413,32.0197,0.0,99.8372,ND,ND,02/12/2024 13:30:00
