LocalCol;TimeCol;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP]
02/12/2024;01/12/2024 23:00;99,8119;0,2;32,5781;0;0;44,5503
02/12/2024 00:15;01/12/2024 23:15;99,8336;0,2;32,6056;0;0;44,572
02/12/2024 00:30;01/12/2024 23:30;99,8517;0,2;32,6056;0;0;44,3661
02/12/2024 00:45;01/12/2024 23:45;99,8372;0,2;32,6461;0;0;44,6424
02/12/2024 01:00;02/12/2024;99,8336;0,2;32,7445;0;0;44,8266
02/12/2024 01:15;02/12/2024 00:15;99,8481;0,2;32,5781;0;0;44,4609
02/12/2024 01:30;02/12/2024 00:30;99,8481;0,2;32,5694;0;0;44,5503
02/12/2024 01:45;02/12/2024 00:45;99,83;0,2;32,5767;0;0;44,5476
02/12/2024 02:00;02/12/2024 01:00;99,8445;0,2;32,5246;0;0;44,5313
02/12/2024 02:15;02/12/2024 01:15;99,8662;0,2;32,5897;0;0;44,3688
02/12/2024 02:30;02/12/2024 01:30;99,8481;0,2;32,5752;0;0;44,3011
02/12/2024 02:45;02/12/2024 01:45;99,8155;0,2;32,5622;0;0;44,274
02/12/2024 03:00;02/12/2024 02:00;99,8264;0,2;32,5767;0;0;44,7345
02/12/2024 03:15;02/12/2024 02:15;99,8445;0,2;32,5564;0;0;44,3661
02/12/2024 03:30;02/12/2024 02:30;99,8481;0,2;32,555;0;0;44,6424
02/12/2024 03:45;02/12/2024 02:45;99,83;0,2;32,7156;0;0;44,8266
02/12/2024 04:00;02/12/2024 03:00;99,8517;0,2;32,6403;0;0;44,3661
02/12/2024 04:15;02/12/2024 03:15;99,8553;0,2;32,6288;0;0;44,469
02/12/2024 04:30;02/12/2024 03:30;99,8517;0,2;32,7185;0;0;44,8971
02/12/2024 04:45;02/12/2024 03:45;99,8336;0,2;32,4002;0;0;43,9028
