LocalCol;TimeCol;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali]
02/12/2024;01/12/2024 23:00;99,8119;0,2;33,4685;0;44,5503;23,8478
02/12/2024 00:15;01/12/2024 23:15;99,8336;0,2;33,4931;0;44,572;23,8708
02/12/2024 00:30;01/12/2024 23:30;99,8517;0,2;33,512;0;44,3661;23,8478
02/12/2024 00:45;01/12/2024 23:45;99,8372;0,2;33,5403;0;44,6424;23,8938
02/12/2024 01:00;02/12/2024;99,8336;0,2;33,6184;0;44,8266;24,6334
02/12/2024 01:15;02/12/2024 00:15;99,8481;0,2;33,4712;0;44,4609;25,0871
02/12/2024 01:30;02/12/2024 00:30;99,8481;0,2;33,4562;0;44,5503;25,419
02/12/2024 01:45;02/12/2024 00:45;99,83;0,2;33,4748;0;44,5476;25,6967
02/12/2024 02:00;02/12/2024 01:00;99,8445;0,2;33,4449;0;44,5313;25,8809
02/12/2024 02:15;02/12/2024 01:15;99,8662;0,2;33,4738;0;44,3688;25,9215
02/12/2024 02:30;02/12/2024 01:30;99,8481;0,2;33,4533;0;44,3011;25,8931
02/12/2024 02:45;02/12/2024 01:45;99,8155;0,2;33,4514;0;44,274;25,9269
02/12/2024 03:00;02/12/2024 02:00;99,8264;0,2;33,4821;0;44,7345;25,9269
02/12/2024 03:15;02/12/2024 02:15;99,8445;0,2;33,458;0;44,3661;25,9269
02/12/2024 03:30;02/12/2024 02:30;99,8481;0,2;33,4519;0;44,6424;25,9269
02/12/2024 03:45;02/12/2024 02:45;99,83;0,2;33,6116;0;44,8266;25,9269
02/12/2024 04:00;02/12/2024 03:00;99,8517;0,2;33,5469;0;44,3661;25,9269
02/12/2024 04:15;02/12/2024 03:15;99,8553;0,2;33,5405;0;44,469;25,9269
02/12/2024 04:30;02/12/2024 03:30;99,8517;0,2;33,6189;0;44,8971;25,6032
02/12/2024 04:45;02/12/2024 03:45;99,8336;0,2;33,3142;0;43,9028;23,291
02/12/2024 05:00;02/12/2024 04:00;99,8445;0,2;33,4246;0;44,3905;23,9399
02/12/2024 05:15;02/12/2024 04:15;99,8336;0,2;33,4231;0;44,1819;23,7543
02/12/2024 05:30;02/12/2024 04:30;99,8155;0,2;33,2768;0;43,7186;23,3384
02/12/2024 05:45;02/12/2024 04:45;99,8517;0,2;33,1116;0;43,3394;23,1542
02/12/2024 06:00;02/12/2024 05:00;99,8264;0,2;33,1969;0;43,9949;23,264
02/12/2024 06:15;02/12/2024 05:15;99,8553;0,2;33,1561;0;43,8107;23,2003
02/12/2024 06:30;02/12/2024 05:30;99,8372;0,2;33,1575;0;43,9001;23,2355
02/12/2024 06:45;02/12/2024 05:45;99,8192;0,2;33,2944;0;43,9949;24,5873
02/12/2024 07:00;02/12/2024 06:00;99,8517;0,2;33,2381;0;43,9028;24,8636
02/12/2024 07:15;02/12/2024 06:15;99,8517;0,2;33,0927;0;43,7213;24,9585
