LocalCol;TimeCol;PLC1_AI_LT_BACINO;PLC1_AI_FT_PORT_IST;PLC1_AI_LT_SCAR_C;PLC1_AI_POT_ATTIVA;PLC1_AI_LT_INTERNO1;PLC1_AI_PT_TURBINA_OUT;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINAmt;PLC1_AI_FT_PORT_COND;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;LIVELLO VASCA FORESTA [EW164];MISURATORE DI PORTATA TURBINA [EW172];LIVELLO VASCA DI SCARICO [EW168];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO INTERNO TORRINO FORESTA [EW170];PRESSIONE USCITA ACQUA TURBINATA [EW174];POSIZIONE DISTRIBUTORE [EW180];PRESSIONE ACQUA TURBINA [EW182];MISURATORE DI PORTATA 1600 [E1.5];;;;;;;;;;;;
10/06/2024 23:45;10/06/2024 21:45;7,28156;0,009332;52,2388;198,782;3,23568;0,010417;91,0913;0,497187;2,90047;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024;10/06/2024 22:00;3,09867;0,0102;52,4965;0;3,26454;0,010344;-0,009049;0,48981;2,96924;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 00:15;10/06/2024 22:15;3,10489;0,837023;56,1719;55,9904;3,15169;-0,154731;25,1697;15,0956;3,40528;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 00:30;10/06/2024 22:30;2,916;1,91667;60,2154;204,378;2,94531;-0,214265;93,1228;12,7218;3,56171;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 00:45;10/06/2024 22:45;2,79556;1,95703;60,1542;206,781;2,88954;-0,214771;100,095;12,7498;3,3757;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 01:00;10/06/2024 23:00;2,72;1,96528;60,0573;204,742;2,85807;-0,219329;100,104;12,8074;3,23703;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 01:15;10/06/2024 23:15;2,66756;1,97852;60,0613;207,013;2,85004;-0,216218;100,086;12,5197;3,18374;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 01:30;10/06/2024 23:30;2,668;1,97005;60,0554;202,994;2,84462;-0,224031;100,104;12,5403;3,12786;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 01:45;10/06/2024 23:45;2,64756;1,95877;60,0538;207,552;2,83681;-0,225622;100,095;12,8162;3,12172;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 02:00;11/06/2024;2,66133;1,96745;59,9999;205,266;2,83464;-0,198278;100,095;12,8103;3,09788;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 02:15;11/06/2024 00:15;2,67111;1,95161;60,0532;206,003;2,8342;-0,231409;100,104;12,6185;3,09001;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 02:30;11/06/2024 00:30;2,65689;1,95486;60,0672;209,416;2,83529;-0,22526;100,118;12,6023;3,13982;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 02:45;11/06/2024 00:45;2,64533;1,9592;60,0549;206,659;2,83876;-0,224826;100,127;12,7646;3,11876;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 03:00;11/06/2024 01:00;2,65689;1,95768;60,0561;207,35;2,83312;-0,210576;100,113;12,5639;3,08243;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 03:15;11/06/2024 01:15;2,61422;1,97504;60,0157;208,115;2,82292;-0,224465;100,113;12,7764;3,02297;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 03:30;11/06/2024 01:30;2,60311;1,96289;60,029;206,499;2,82183;-0,216363;100,109;12,5418;3,04979;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 03:45;11/06/2024 01:45;2,60444;1,92708;59,9575;208,117;2,81532;-0,219473;100,104;12,8015;3,00772;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 04:00;11/06/2024 02:00;2,58133;1,93403;60,0181;205,747;2,81727;-0,202763;100,104;12,6392;3,00394;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 04:15;11/06/2024 02:15;2,61645;1,96246;60,004;206,835;2,82487;-0,213686;100,113;12,5123;3,03786;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 04:30;11/06/2024 02:30;2,64489;1,94249;60,0256;205,088;2,82292;-0,209129;100,109;12,592;3,04748;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 04:45;11/06/2024 02:45;2,61556;1,94618;60,0066;204,694;2,82292;-0,203053;100,104;12,558;3,03195;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 05:00;11/06/2024 03:00;2,616;1,93598;60,0338;205,704;2,82357;-0,223958;100,109;12,5728;3,05058;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 05:15;11/06/2024 03:15;2,63244;1,95747;60,0204;205,866;2,8303;-0,205512;100,131;12,5418;3,06265;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 05:30;11/06/2024 03:30;2,63467;1,94184;60,0352;207,134;2,82834;-0,21752;100,109;12,6584;3,0549;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 05:45;11/06/2024 03:45;2,67645;1,93902;59,9965;205,99;2,83681;-0,206597;100,109;12,6318;3,11843;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 06:00;11/06/2024 04:00;2,64667;1,96506;60,0334;206,933;2,84288;-0,228154;100,127;12,5079;3,1065;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 06:15;11/06/2024 04:15;2,68222;1,96875;60,1126;206,754;2,84744;-0,219256;100,109;12,5152;3,111;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 06:30;11/06/2024 04:30;2,64889;1,96571;60,0344;206,187;2,84353;-0,219039;100,113;12,499;3,09956;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 06:45;11/06/2024 04:45;2,63911;1,93056;60,0668;205,158;2,82921;-0,220486;100,109;12,7351;3,05838;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 07:00;11/06/2024 05:00;2,552;1,93815;60,0292;205,867;2,82227;-0,220052;100,104;12,5123;3,0293;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 07:15;11/06/2024 05:15;2,60489;1,95855;60,0464;206,59;2,81901;-0,233001;100,118;12,6229;3,04324;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 07:30;11/06/2024 05:30;2,60533;1,94727;60,0165;204,208;2,82292;-0,214337;100,109;12,4813;3,02003;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 07:45;11/06/2024 05:45;2,61111;1,96115;60,0073;206,117;2,81944;-0,215278;100,109;12,6982;3,02173;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 08:00;11/06/2024 06:00;2,61111;1,93099;60,0134;207,942;2,8214;-0,216435;100,109;12,6834;3,04405;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 08:15;11/06/2024 06:15;2,63422;1,9503;59,9967;207,037;2,83225;-0,21969;100,095;12,5521;3,07167;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 08:30;11/06/2024 06:30;2,62889;1,92404;60,037;205,366;2,83225;-0,215133;100,095;12,4769;3,07511;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2024 08:45;11/06/2024 06:45;2,64889;1,96463;60,0455;204,517;2,83854;-0,206091;100,104;12,4562;3,05089;0;0;0;0;0;0;0;0;0;0;0;0
