t,Irr,T_Amb,T_Mod
2000-01-01 00:00:00,0,3.86,0.0005
2000-01-01 01:00:00,0,3.5198,0.0005
2000-01-01 02:00:00,0,3.1898,0.0005
2000-01-01 03:00:00,0,3.0197,0.0005
2000-01-01 04:00:00,0,2.8502,0.0005
2000-01-01 05:00:00,0,2.73,0.0005
2000-01-01 06:00:00,0,2.6098,0.0005
2000-01-01 07:00:00,0,2.6002,0.0005
2000-01-01 08:00:00,30.5948,3.2103,4.1957
2000-01-01 09:00:00,103.6041,4.3902,7.967
2000-01-01 10:00:00,168.2936,5.6199,11.5555
2000-01-01 11:00:00,218.8944,6.7698,14.5461
2000-01-01 12:00:00,212.6953,7.4898,15.0735
2000-01-01 13:00:00,166.8995,7.7399,13.7038
2000-01-01 14:00:00,113.4069,7.5998,11.6348
2000-01-01 15:00:00,53.2999,7.0198,8.9106
2000-01-01 16:00:00,1.3051,6.2102,0.0005
2000-01-01 17:00:00,0,5.9902,0.0005
2000-01-01 18:00:00,0,5.76,0.0005
2000-01-01 19:00:00,0,5.54,0.0005
2000-01-01 20:00:00,0,5.32,0.0005
2000-01-01 21:00:00,0,5.1,0.0005
2000-01-01 22:00:00,0,4.8698,0.0005
2000-01-01 23:00:00,0,4.6498,0.0005
2000-01-02 00:00:00,0,3.9898,0.0005
2000-01-02 01:00:00,0,4.3,0.0005
2000-01-02 02:00:00,0,4.1299,0.0005
2000-01-02 03:00:00,0,4.0397,0.0005
2000-01-02 04:00:00,0,3.9598,0.0005
2000-01-02 05:00:00,0,3.9003,0.0005
2000-01-02 06:00:00,0,3.8498,0.0005
2000-01-02 07:00:00,0,3.8498,0.0005
2000-01-02 08:00:00,18.4933,4.2399,4.9268
2000-01-02 09:00:00,59.7066,4.9497,7.1147
2000-01-02 10:00:00,94.7949,5.6698,9.1011
2000-01-02 11:00:00,111.8052,6.2498,10.2991
2000-01-02 12:00:00,115.7055,6.6598,10.8519
2000-01-02 13:00:00,102.299,6.8702,10.5777
2000-01-02 14:00:00,75.3969,6.9002,9.6363
2000-01-02 15:00:00,37.0015,6.6201,7.9736
2000-01-02 16:00:00,1.394,6.1501,0.0005
2000-01-02 17:00:00,0,5.87,0.0005
2000-01-02 18:00:00,0,5.5099,0.0005
2000-01-02 19:00:00,0,5.4198,0.0005
