t,Q,P,Bar,Eta
2024-03-01 00:06:25,6.814957e-06,0.0,0.5400009,0.0
2024-03-01 00:21:25,0.0,0.0,0.4836378,
2024-03-01 00:36:25,9.085655e-06,0.0,0.596365,0.0
2024-03-01 00:51:25,2.861023e-09,0.0,0.4872742,0.0
2024-03-01 01:06:25,9.085655e-06,0.0,0.5381832,0.0
2024-03-01 01:21:25,2.861023e-09,0.0,0.5363646,0.0
2024-03-01 01:36:25,4.544258e-06,0.0,0.505456,0.0
2024-03-01 01:51:25,2.861023e-09,0.0,0.4854555,0.0
2024-03-01 02:06:25,0.0,0.0,0.505456,
2024-03-01 02:21:25,0.0,0.0,0.4781828,
2024-03-01 02:36:25,4.544258e-06,0.0,0.4800014,0.0
2024-03-01 02:51:25,0.0,0.0,0.4490919,
2024-03-01 03:06:25,2.27356e-06,0.0,0.4563646,0.0
2024-03-01 03:21:25,0.0,0.0,0.4727287,
2024-03-01 03:36:25,0.0,0.0,0.4109106,
2024-03-01 03:51:25,0.0,0.0,0.4127283,
2024-03-01 04:06:25,0.0,0.0,0.3872738,
2024-03-01 04:21:25,2.861023e-09,0.0,0.3727283,0.0
2024-03-01 04:36:25,2.861023e-09,0.0,0.4000015,0.0
2024-03-01 04:51:25,2.861023e-09,0.0,0.3854561,0.0
2024-03-01 05:06:25,0.0,0.0,0.3727283,
2024-03-01 05:21:25,2.27356e-06,0.0,0.3872738,0.0
2024-03-01 05:36:26,2.861023e-09,0.0,0.3672743,0.0
2024-03-01 05:51:26,0.0,0.0,0.3763647,
2024-03-01 06:06:26,0.0,0.0,0.3818197,
2024-03-01 06:21:26,0.0,0.0,0.369092,
2024-03-01 06:36:26,0.0,0.0,0.3709106,
2024-03-01 06:51:26,9.085655e-06,0.0,0.4072742,0.0
2024-03-01 07:06:26,0.0,0.0,0.3454561,
2024-03-01 07:21:26,2.861023e-09,0.0,0.3927288,0.0
2024-03-01 07:36:26,0.0,0.0,0.3127279,
2024-03-01 07:51:26,2.861023e-09,0.0,0.3163643,0.0
2024-03-01 08:06:26,0.0,0.0,0.8381834,
