t,Q,P,Bar,Eta
2025-08-05 09:03:21,0.03051317,64.0915,26.63091,0.7884399793437319
2025-08-05 09:18:21,0.030622160000000002,64.0735,26.60182,0.7862720059320499
2025-08-05 09:33:21,0.03055631,64.084,26.57091,0.7890123725765432
2025-08-05 09:48:21,0.03061308,64.0345,26.58364,0.7865640387148561
2025-08-05 10:03:21,0.030454139999999998,63.503,26.52182,0.7859340723615035
2025-08-05 10:18:21,0.03048592,64.3205,26.63091,0.7919643578709619
2025-08-05 10:33:21,0.0305109,64.569,26.66182,0.7934522341092577
2025-08-05 10:48:21,0.030551770000000002,64.247,26.63455,0.7892464754392894
2025-08-05 11:03:21,0.03057902,64.034,26.60182,0.786895851402159
2025-08-05 11:18:21,0.03054496,64.2485,26.62,0.7898723627158241
2025-08-05 11:33:21,0.030547229999999998,64.261,26.62182,0.7899133241256067
2025-08-05 11:48:21,0.030470030000000002,64.2315,26.63455,0.7911728148957393
2025-08-05 12:03:21,0.030540420000000002,64.3025,26.66,0.7894674801298964
2025-08-05 12:18:21,0.03046095,64.175,26.62545,0.7909827538729459
2025-08-05 12:33:21,0.030470030000000002,64.137,26.60546,0.790872592671784
2025-08-05 12:48:21,0.030508630000000002,64.348,26.66364,0.7907413460150886
2025-08-05 13:03:21,0.030449590000000002,64.2685,26.62,0.7925929423490222
2025-08-05 13:18:21,0.03050636,64.3565,26.64727,0.7913905157892077
2025-08-05 13:33:21,0.03050182,64.1865,26.58182,0.7913612226416166
2025-08-05 13:48:21,0.03054269,64.197,26.61091,0.7895674943152151
2025-08-05 14:03:21,0.03050409,64.2795,26.61273,0.7915284437587484
2025-08-05 14:18:21,0.03056313,64.365,26.64545,0.790078826461535
2025-08-05 14:33:21,0.03055859,64.3255,26.63818,0.7899267978396236
2025-08-05 14:48:21,0.03052225,64.272,26.59273,0.7915600777921653
2025-08-05 15:03:21,0.030526789999999998,64.2895,26.66364,0.7895524935620982
2025-08-05 15:18:22,0.030626709999999998,64.3105,26.63273,0.7881472981188838
2025-08-05 15:33:22,0.030454139999999998,64.2855,26.62727,0.7924677213817206
2025-08-05 15:48:21,0.03049955,64.332,26.61818,0.7921306202667192
2025-08-05 16:03:22,0.03057221,64.1985,26.52909,0.7912563916419127
2025-08-05 16:18:22,0.030526789999999998,64.2595,26.66,0.7892918079900431
2025-08-05 16:33:22,0.03049955,64.268,26.63273,0.7909102511342909
2025-08-05 16:48:22,0.03043597,63.7975,26.51091,0.7903754013382414
2025-08-05 17:03:22,0.030535879999999998,63.833,26.50182,0.7884981033662801
2025-08-05 17:18:22,0.03064714,64.2525,26.67636,0.7856245493094989
2025-08-05 17:33:22,0.03057675,64.413,26.66364,0.7897766775401599
2025-08-05 17:48:22,0.03048592,64.3385,26.64,0.7919156812593067
2025-08-05 18:03:22,0.03051771,64.3105,26.66909,0.7898839419897004
2025-08-05 18:18:22,0.03052225,64.358,26.67455,0.790187999993027
2025-08-05 18:33:22,0.03046776,64.363,26.64182,0.7926352830696387
2025-08-05 18:48:22,0.03054269,64.2885,26.66727,0.7890217734985603
2025-08-05 19:03:22,0.030481380000000002,64.2455,26.63455,0.7910505960722674
2025-08-05 19:18:22,0.03054269,64.2935,26.62182,0.7904302983598318
2025-08-05 19:33:22,0.03056994,64.4895,26.70909,0.7895449669452579
2025-08-05 19:48:22,0.030449590000000002,64.167,26.64727,0.7905313566290669
2025-08-05 20:03:22,0.030617619999999998,64.409,26.7,0.7875994495035267
2025-08-05 20:18:22,0.03051317,64.4055,26.66,0.7914382210692813
2025-08-05 20:33:22,0.03053361,64.3495,26.65091,0.7904902495814439
2025-08-05 20:48:22,0.030551770000000002,64.4495,26.72909,0.7889337598679322
2025-08-05 21:03:22,0.03053815,64.4335,26.68727,0.7903262132539733
2025-08-05 21:18:22,0.030476839999999998,64.389,26.70182,0.7909379588217891
2025-08-05 21:33:22,0.03058129,64.478,26.68909,0.7897025275816338
