t,Q,P,Bar,Eta
2024-06-17 00:00:00,0.0468465,119.8527,29.8034,0.8581167881852443
2024-06-17 00:15:00,0.0384358,100.0627,30.5963,0.8505677642960567
2024-06-17 00:30:00,0.0390091,102.9179,30.5117,0.8643708598973803
2024-06-17 00:45:00,0.0496665,127.9291,29.7621,0.8651347448548546
2024-06-17 01:00:00,0.0533498,133.6955,29.2003,0.8579030626782694
2024-06-17 01:15:00,0.0536004,135.0509,29.3628,0.8577752726421818
2024-06-17 01:30:00,0.053152200000000004,134.1414,29.4304,0.857209474239725
2024-06-17 01:45:00,0.0496502,127.7001,29.914,0.8594829845898938
2024-06-17 02:00:00,0.0416561,108.1065,30.4669,0.8515035643155702
2024-06-17 02:15:00,0.0361687,94.1785,30.5352,0.8524317913807138
2024-06-17 02:30:00,0.0356902,92.6345,30.4935,0.8508598731067524
2024-06-17 02:45:00,0.0350788,91.1629,30.5333,0.850826869192596
2024-06-17 03:00:00,0.039441699999999996,102.9681,30.3351,0.8602866433273048
2024-06-17 03:15:00,0.0424197,109.882,30.0918,0.8605028906550272
2024-06-17 03:30:00,0.0416944,107.8806,30.1922,0.8566677197028983
2024-06-17 03:45:00,0.036295299999999996,93.9476,30.5435,0.8471455530252355
2024-06-17 04:00:00,0.0320556,83.1339,30.6576,0.8456246388787277
2024-06-17 04:15:00,0.041292,107.6817,30.1405,0.8649023348995014
2024-06-17 04:30:00,0.0491466,125.2027,29.4667,0.864231819199418
2024-06-17 04:45:00,0.0530018,135.206,29.6091,0.8612350107552256
2024-06-17 05:00:00,0.053489400000000006,135.7877,29.5267,0.8594474588208335
2024-06-17 05:15:00,0.051648400000000004,131.1218,29.5491,0.8588460250840827
2024-06-17 05:30:00,0.0459279,119.1106,30.2336,0.8574829603652165
2024-06-17 05:45:00,0.0382245,100.0183,30.6201,0.8542256110429195
2024-06-17 06:00:00,0.043171,113.362,30.2681,0.8672249582190436
2024-06-17 06:15:00,0.0498398,127.3905,29.6117,0.8628572408900335
2024-06-17 06:30:00,0.0517086,129.5789,29.1692,0.8587930648111315
2024-06-17 06:45:00,0.0511427,128.651,29.3139,0.8578225323155116
2024-06-17 07:00:00,0.0461802,118.1884,29.8781,0.8562638414166184
2024-06-17 07:15:00,0.0343215,87.8436,30.6407,0.8350004706937253
2024-06-17 07:30:00,0.0216923,52.6496,30.8848,0.7855724026414995
2024-06-17 07:45:00,0.0274739,70.5977,30.5869,0.8398008570613573
2024-06-17 08:00:00,0.0386147,98.784,29.767,0.859093459590953
2024-06-17 08:15:00,0.038826599999999996,97.629,29.519,0.8515092612318665
2024-06-17 08:30:00,0.0361215,90.98,29.8052,0.8447528250509968
2024-06-17 08:45:00,0.022150200000000002,52.7885,30.8498,0.7722374414384807
2024-06-17 09:00:00,0.0206494,51.1365,30.84,0.8026953197640532
2024-06-17 09:15:00,0.033876199999999995,86.1076,29.9385,0.8487080016700439
2024-06-17 09:30:00,0.035038200000000005,89.256,30.0061,0.8486480506719924
2024-06-17 09:45:00,0.035481,90.4234,29.9698,0.8500464815001691
2024-06-17 10:00:00,0.034869,88.4404,29.9691,0.8460169071290465
2024-06-17 10:15:00,0.022010000000000002,52.2667,30.8803,0.7687144851540937
2024-06-17 10:30:00,0.023607,60.6548,30.9784,0.8291000270749781
2024-06-17 10:45:00,0.038414000000000004,100.2564,30.3348,0.8600485647457226
2024-06-17 11:00:00,0.041635399999999996,107.0892,29.9934,0.8572327821683113
2024-06-17 11:15:00,0.0422359,109.0647,29.9542,0.8617598744371877
2024-06-17 11:30:00,0.0437593,113.0801,29.9424,0.8627217505640833
