t,Q,P,Bar,Eta
2024-05-01 00:00:00,0.049500100000000005,124.3238,29.1305,0.8618700678498193
2024-05-01 00:15:00,0.0530449,130.6206,28.7858,0.8551282877041462
2024-05-01 00:30:00,0.0531984,132.1818,28.9961,0.8565940228555529
2024-05-01 00:45:00,0.053545,135.7565,29.5366,0.8580700540181985
2024-05-01 01:00:00,0.0507545,130.3253,29.8911,0.8587244323331836
2024-05-01 01:15:00,0.043236800000000006,112.5973,30.4254,0.8556175294750393
2024-05-01 01:30:00,0.0385616,101.3075,30.5733,0.8589853807080399
2024-05-01 01:45:00,0.0463671,121.6924,30.209,0.8684777779990869
2024-05-01 02:00:00,0.0531918,136.001,29.6488,0.8620487603733432
2024-05-01 02:15:00,0.0538314,137.3534,29.63,0.860822530902363
2024-05-01 02:30:00,0.053776000000000004,135.9153,29.4408,0.8581669472415804
2024-05-01 02:45:00,0.0528539,132.0484,29.1683,0.8562222789648373
2024-05-01 03:00:00,0.0489726,123.6705,29.4611,0.8568514464237734
2024-05-01 03:15:00,0.0406516,104.9773,30.3269,0.8511993302900266
2024-05-01 03:30:00,0.0332845,86.7891,30.6487,0.85045752213532
2024-05-01 03:45:00,0.0423838,110.912,30.1424,0.8678453759262093
2024-05-01 04:00:00,0.0508346,128.8611,29.3663,0.8628885973870823
2024-05-01 04:15:00,0.053320599999999996,133.2875,29.136,0.8576419261152443
2024-05-01 04:30:00,0.0533263,133.7829,29.2071,0.8586422495891978
2024-05-01 04:45:00,0.0528818,134.7636,29.6325,0.8596855343282979
2024-05-01 05:00:00,0.0486627,126.4754,30.1935,0.8604743690608393
2024-05-01 05:15:00,0.042266599999999994,110.8582,30.4918,0.8598624500573706
2024-05-01 05:30:00,0.0443682,116.9959,30.3543,0.8684006665088754
2024-05-01 05:45:00,0.0515121,132.9204,29.8202,0.8649945476436947
2024-05-01 06:00:00,0.053989199999999994,136.8816,29.5414,0.8579236600511783
2024-05-01 06:15:00,0.0539364,136.4914,29.4871,0.8578923739170174
2024-05-01 06:30:00,0.0525432,133.5191,29.6015,0.858133183715576
2024-05-01 06:45:00,0.047633499999999995,122.7491,29.9792,0.8592653931022491
2024-05-01 07:00:00,0.037117899999999995,95.8728,30.4955,0.846677059816902
2024-05-01 07:15:00,0.0313075,81.4338,30.6841,0.8473921954997553
2024-05-01 07:30:00,0.0416486,108.481,30.0265,0.8671417526657108
2024-05-01 07:45:00,0.0486083,122.1985,29.1387,0.8624358630684285
2024-05-01 08:00:00,0.0504172,125.3245,28.951,0.8582923190261296
2024-05-01 08:15:00,0.039690399999999994,100.7395,29.8974,0.8486379144893897
2024-05-01 08:30:00,0.0324471,81.8502,30.4207,0.82892682083669
2024-05-01 08:45:00,0.0189328,44.9645,31.0017,0.7657922192916204
2024-05-01 09:00:00,0.0305015,79.0871,30.3327,0.8545056153857731
2024-05-01 09:15:00,0.0362899,92.9027,29.9644,0.8540405981423176
2024-05-01 09:30:00,0.038320900000000005,98.8436,30.0322,0.8585532651636228
2024-05-01 09:45:00,0.0403084,103.9393,29.9846,0.859661556612497
2024-05-01 10:00:00,0.0329447,84.1136,30.5728,0.8348087374698078
2024-05-01 10:15:00,0.0225869,56.445,30.9754,0.8064797413181236
2024-05-01 10:30:00,0.0348568,90.9679,30.2722,0.8617835662047318
2024-05-01 10:45:00,0.0400417,101.078,29.5287,0.8545576030719055
2024-05-01 11:00:00,0.038316499999999996,96.3681,29.4524,0.8536273317736071
2024-05-01 11:15:00,0.037377,94.8453,29.7819,0.8517271877356373
2024-05-01 11:30:00,0.0236494,56.5196,30.7411,0.7771432630478544
2024-05-01 11:45:00,0.0168553,39.2828,30.9977,0.7515848474969667
2024-05-01 12:00:00,0.0321796,83.0638,30.2486,0.8530361035240616
2024-05-01 12:15:00,0.035671100000000004,90.7586,29.932,0.8497224389048923
2024-05-01 12:30:00,0.0356666,90.5437,29.8903,0.8490001949706876
2024-05-01 12:45:00,0.0357075,91.2161,30.0445,0.8499406711830548
2024-05-01 13:00:00,0.024036000000000002,57.9907,30.8068,0.7828726194869486
2024-05-01 13:15:00,0.020986,51.461,30.8361,0.7949332171127867
2024-05-01 13:30:00,0.0333165,85.8136,30.2632,0.8507920830169905
2024-05-01 13:45:00,0.0380616,96.9034,29.8645,0.852193591119144
2024-05-01 14:00:00,0.034979300000000005,88.129,30.1041,0.8366110905930173
2024-05-01 14:15:00,0.0227406,54.8612,30.8733,0.781127393003714
2024-05-01 14:30:00,0.0254349,64.9711,30.7121,0.831423335186554
2024-05-01 14:45:00,0.036928600000000006,94.5069,29.9572,0.8539668121077283
2024-05-01 15:00:00,0.037263199999999996,94.787,29.8801,0.8509971811385164
2024-05-01 15:15:00,0.0381747,97.8325,29.9867,0.8543196222268741
2024-05-01 15:30:00,0.0387604,99.1176,30.0325,0.8511626913731352
2024-05-01 15:45:00,0.028548999999999998,70.9164,30.7015,0.8087936321706595
2024-05-01 16:00:00,0.0215288,53.4772,30.9701,0.8017662422304839
2024-05-01 16:15:00,0.037167900000000004,96.2087,30.1833,0.8572769356845494
2024-05-01 16:30:00,0.0394581,101.0163,29.9544,0.8543507415032823
2024-05-01 16:45:00,0.039560000000000005,100.7724,29.8416,0.8533059062842493
2024-05-01 17:00:00,0.041015300000000005,106.1831,30.1309,0.8588927587571603
2024-05-01 17:15:00,0.0440583,114.1389,30.0788,0.8609679372568065
2024-05-01 17:30:00,0.0380396,98.2817,30.5309,0.8459382240168799
2024-05-01 17:45:00,0.031686,82.0076,30.7528,0.8412857989082067
2024-05-01 18:00:00,0.0394365,103.283,30.2881,0.864370600339048
2024-05-01 18:15:00,0.045100799999999996,114.066,29.4093,0.8596641512941274
2024-05-01 18:30:00,0.0434691,109.3259,29.3179,0.8575334922627301
2024-05-01 18:45:00,0.0414494,104.5351,29.4485,0.8560955703430637
2024-05-01 19:00:00,0.0342639,85.8924,30.247,0.8284707412026034
2024-05-01 19:15:00,0.0189718,44.2843,31.0116,0.7524170190324733
2024-05-01 19:30:00,0.0286489,73.9006,30.4458,0.8469429558638719
2024-05-01 19:45:00,0.037485399999999995,96.1028,29.9993,0.8542880043209213
2024-05-01 20:00:00,0.038163800000000005,96.9379,29.8187,0.8515199508170495
2024-05-01 20:15:00,0.0378345,96.004,29.7491,0.852646542377087
2024-05-01 20:30:00,0.029238,72.6688,30.5648,0.8128685220077456
2024-05-01 20:45:00,0.021748899999999998,53.6126,30.8866,0.7978128125512389
2024-05-01 21:00:00,0.0342845,87.9369,30.0356,0.8536474688185484
2024-05-01 21:15:00,0.041485999999999995,105.8383,29.6464,0.8602226351088629
2024-05-01 21:30:00,0.0415979,105.8361,29.7212,0.8557316966331832
2024-05-01 21:45:00,0.0315466,79.3926,30.5003,0.8248308426580679
2024-05-01 22:00:00,0.0265841,66.5628,30.7647,0.8135766461437601
2024-05-01 22:15:00,0.0297787,76.9823,30.6024,0.844444668063817
2024-05-01 22:30:00,0.0407642,105.068,29.85,0.8631549068452403
2024-05-01 22:45:00,0.0446798,113.3886,29.4788,0.8605773462433167
2024-05-01 23:00:00,0.0443283,113.0513,29.7006,0.8583626246442875
2024-05-01 23:15:00,0.0397717,103.7242,30.5396,0.8536584273585738
2024-05-01 23:30:00,0.040073300000000006,105.1334,30.49,0.8601411299632125
2024-05-01 23:45:00,0.0468276,122.1524,30.1233,0.8656435447368663
2024-05-02 00:00:00,0.049317,127.485,29.9014,0.8641964001245017
2024-05-02 00:15:00,0.0485136,125.0192,29.9678,0.8596068909154317
2024-05-02 00:30:00,0.0438727,114.3125,30.4308,0.8559088720021434
2024-05-02 00:45:00,0.041328699999999996,108.0418,30.4607,0.8579099887700674
2024-05-02 01:00:00,0.0452774,116.9951,29.9447,0.8625966435133682
2024-05-02 01:15:00,0.0466323,119.574,29.7537,0.8614904727953117
2024-05-02 01:30:00,0.0453799,116.4625,29.8998,0.8580168724722915
2024-05-02 01:45:00,0.0393451,101.2127,30.3283,0.8478867081477635
2024-05-02 02:00:00,0.034387999999999995,89.2678,30.6168,0.8475584419062002
2024-05-02 02:15:00,0.043637300000000004,114.0179,30.0899,0.868032447334216
2024-05-02 02:30:00,0.0514969,130.3162,29.3637,0.8614857148720843
2024-05-02 02:45:00,0.0534312,133.4056,29.1414,0.856466257860874
2024-05-02 03:00:00,0.053474400000000005,134.8661,29.3378,0.8593515655220337
2024-05-02 03:15:00,0.0532983,135.8394,29.6281,0.8599043250207529
2024-05-02 03:30:00,0.0498766,128.4933,29.9058,0.8611320536082123
2024-05-02 03:45:00,0.0431909,112.6157,30.4758,0.8552500524562711
2024-05-02 04:00:00,0.0327728,83.1837,30.9782,0.8190493016031807
2024-05-02 04:15:00,0.011528499999999999,62.514,32.0029,1.6937787795512507
2024-05-02 04:30:00,0.0006199,0.0,32.4091,0.0
2024-05-02 04:45:00,0.0096741,24.7259,31.9868,0.7987525888154806
2024-05-02 05:00:00,0.047851700000000004,124.7922,30.0152,0.8685410826512658
2024-05-02 05:15:00,0.0539129,136.7643,29.6139,0.8563000819151176
2024-05-02 05:30:00,0.0536091,135.0819,29.3877,0.8571060961964537
2024-05-02 05:45:00,0.0533309,132.4153,29.0392,0.8547048053290943
2024-05-02 06:00:00,0.053252600000000004,131.6067,28.9347,0.8538070499254907
2024-05-02 06:15:00,0.0533745,130.9545,28.8521,0.8500622216547336
2024-05-02 06:30:00,0.0531135,129.0253,28.6067,0.8488749787205395
2024-05-02 06:45:00,0.0198305,77.6429,31.2968,1.250574838765976
2024-05-02 07:00:00,0.0008587,0.0,32.5457,0.0
2024-05-02 07:15:00,0.0054363,11.2319,32.2667,0.6400837464266086
2024-05-02 07:30:00,0.0032967,21.2363,32.2688,1.9955294704948878
2024-05-02 07:45:00,0.0445047,112.9857,29.2064,0.868922636724984
2024-05-02 08:00:00,0.011801500000000001,55.7158,31.9663,1.4763533932535284
2024-05-02 08:15:00,0.0436862,113.2619,30.0004,0.8638812843525318
2024-05-02 08:30:00,0.0364138,93.9146,30.6399,0.8414364176291579
2024-05-02 08:45:00,0.0450976,115.8617,29.9791,0.8566618226979074
2024-05-02 09:00:00,0.0469728,119.66,29.7992,0.8545539425812773
2024-05-02 09:15:00,0.0333952,81.7053,30.5777,0.7998396000265133
2024-05-02 09:30:00,0.0085,16.2639,31.5645,0.6059661894026364
2024-05-02 09:45:00,0.0177923,44.3675,30.8849,0.8071015907029518
2024-05-02 10:00:00,0.0298075,75.2155,30.2707,0.8332990135645711
2024-05-02 10:15:00,0.0323507,81.2956,30.0127,0.8369891510021356
2024-05-02 10:30:00,0.0342373,85.9441,29.9888,0.8367563356643488
2024-05-02 10:45:00,0.035001,88.0819,29.881,0.8418847283006529
2024-05-02 11:00:00,0.0349938,87.7462,29.815,0.8407055918998708
2024-05-02 11:15:00,0.0348838,87.8831,29.8376,0.8440326170245863
2024-05-02 11:30:00,0.0314206,80.0247,30.5922,0.832224330351269
2024-05-02 11:45:00,0.025848,66.1021,30.7974,0.830072059415352
2024-05-02 12:00:00,0.037647599999999996,97.6863,30.0928,0.8619365627947425
2024-05-02 12:15:00,0.040557699999999995,102.2089,29.4962,0.8540648807067889
2024-05-02 12:30:00,0.0393093,98.2586,29.4068,0.8497066778587055
2024-05-02 12:45:00,0.038621499999999996,98.7307,29.8495,0.8561060294812789
2024-05-02 13:00:00,0.031049499999999997,77.915,30.4859,0.8228278463591515
2024-05-02 13:15:00,0.0177509,41.4693,31.0429,0.7522905021076008
2024-05-02 13:30:00,0.0316336,82.3151,30.3764,0.8563200757530308
2024-05-02 13:45:00,0.037809800000000005,96.8831,29.9441,0.85540920534466
2024-05-02 14:00:00,0.0378939,95.5545,29.553,0.8529465233441732
2024-05-02 14:15:00,0.0370616,93.795,29.6789,0.8524114215868777
2024-05-02 14:30:00,0.0382449,97.9824,29.9503,0.8550960570050254
2024-05-02 14:45:00,0.0330584,82.6361,30.3181,0.8241903754032972
2024-05-02 15:00:00,0.0221067,54.9751,30.858,0.8055933510679738
2024-05-02 15:15:00,0.0267707,66.8162,30.5415,0.8169081330570603
2024-05-02 15:30:00,0.0252041,61.5356,30.5475,0.7989527749065798
2024-05-02 15:45:00,0.012935499999999999,26.4543,31.1003,0.6573399283203154
2024-05-02 16:00:00,0.0190565,46.4836,30.7569,0.7927853077274888
2024-05-02 16:15:00,0.029517099999999998,74.7269,30.3227,0.8345972470250419
2024-05-02 16:30:00,0.0331347,83.8283,30.0329,0.842077151412402
2024-05-02 16:45:00,0.0344753,87.0882,29.8612,0.84564004667566
2024-05-02 17:00:00,0.035622999999999995,91.2006,30.0871,0.8506059428327424
2024-05-02 17:15:00,0.0386078,99.3164,30.0035,0.8570684970398414
2024-05-02 17:30:00,0.0424483,110.1688,30.1633,0.8601238711917364
2024-05-02 17:45:00,0.042683,109.6473,30.0532,0.8544641012940133
2024-05-02 18:00:00,0.030767399999999997,76.5862,30.4977,0.815894815105921
2024-05-02 18:15:00,0.0214098,52.4355,30.8753,0.79294516368072
2024-05-02 18:30:00,0.033566200000000004,86.6699,30.122,0.856887585452239
2024-05-02 18:45:00,0.0380229,95.4237,29.4777,0.8510576062877062
2024-05-02 19:00:00,0.0360084,89.2648,29.3525,0.8442534668638879
2024-05-02 19:15:00,0.0331688,82.1662,29.5018,0.8393758419682583
2024-05-02 19:30:00,0.0253205,60.3257,30.1385,0.7902236014960488
2024-05-02 19:45:00,0.0152788,33.7558,30.8555,0.7157611270530642
2024-05-02 20:00:00,0.0154766,33.7099,30.8674,0.7053804091383029
2024-05-02 20:15:00,0.017814399999999998,41.2292,30.735,0.7527348585907055
2024-05-02 20:30:00,0.0210748,50.456,30.6978,0.7796212019507944
2024-05-02 20:45:00,0.025145499999999998,63.4526,30.6672,0.8225391130668963
2024-05-02 21:00:00,0.0340725,87.1135,30.0068,0.8517326910433121
2024-05-02 21:15:00,0.0351179,89.301,30.024,0.8466438742080422
2024-05-02 21:30:00,0.0268335,65.3843,30.3751,0.8018995625362275
2024-05-02 21:45:00,0.0157395,34.8078,30.9259,0.7148333948456824
2024-05-02 22:00:00,0.0253093,63.3405,30.4016,0.822898840696014
2024-05-02 22:15:00,0.0316682,79.6985,30.082,0.8362990417338716
2024-05-02 22:30:00,0.029126799999999998,72.682,30.4323,0.8196734282303522
2024-05-02 22:45:00,0.0222388,54.1242,30.7491,0.7912054491962466
2024-05-02 23:00:00,0.026143899999999998,66.2947,30.503,0.8310122364741352
2024-05-02 23:15:00,0.0319191,82.7566,30.5317,0.8488726738095342
