t,Q,P,Bar,Eta
2024-01-01 00:15:00,0.0324362,75.4668,31.4226,0.7401596163417552
2024-01-01 00:30:00,0.0405082,102.18,30.6225,0.8234246179559569
2024-01-01 00:45:00,0.0382726,96.6048,30.7919,0.8194374138556182
2024-01-01 01:00:00,0.0269841,67.3164,31.5736,0.7898240968692479
2024-01-01 01:15:00,0.0211559,51.3132,31.612,0.7669855072571414
2024-01-01 01:30:00,0.037259,97.3344,31.4313,0.8308341805643435
2024-01-01 01:45:00,0.0375492,95.7348,31.5664,0.8073942045355886
2024-01-01 02:00:00,0.0195823,43.2216,31.8301,0.6931714622470492
2024-01-01 02:15:00,0.0174407,42.2004,31.7965,0.760702556026018
2024-01-01 02:30:00,0.0339117,85.9116,31.3618,0.8075005044393551
2024-01-01 02:45:00,0.0270576,65.6844,31.6099,0.7676997170342177
2024-01-01 03:00:00,0.0181845,42.4464,31.8363,0.732923162981615
2024-01-01 03:15:00,0.032052,81.6672,31.3356,0.8128231316963287
2024-01-01 03:30:00,0.0257702,63.6108,31.906,0.7733609606447517
2024-01-01 03:45:00,0.0324567,85.3608,31.6157,0.8315585836932377
2024-01-01 04:00:00,0.0504194,127.782,30.6071,0.8277350834495871
2024-01-01 04:15:00,0.0505421,123.053,29.7421,0.8182929913211611
2024-01-01 04:30:00,0.0490462,121.883,30.0971,0.8253813600208899
2024-01-01 04:45:00,0.049818600000000005,122.226,30.1038,0.8146898353682649
2024-01-01 05:00:00,0.0440845,111.424,30.5785,0.8262627715704357
2024-01-01 05:15:00,0.0307033,76.4364,31.547,0.7888576474431025
2024-01-01 05:30:00,0.0228111,58.6272,31.9114,0.8050977341629896
2024-01-01 05:45:00,0.0483187,128.106,31.2582,0.8478749444175224
2024-01-01 06:00:00,0.051866300000000004,132.475,31.0123,0.8232964095948418
2024-01-01 06:15:00,0.051134700000000005,128.646,30.4641,0.8255317103260452
2024-01-01 06:30:00,0.0511143,128.844,30.4759,0.8268120152632095
2024-01-01 06:45:00,0.0511674,127.084,30.2553,0.8206115027905422
2024-01-01 07:00:00,0.0472928,120.5,30.7313,0.8288055005590027
2024-01-01 07:15:00,0.0371732,93.6948,31.2523,0.8062042682728054
2024-01-01 07:30:00,0.0228275,55.434,31.7525,0.7645070221126333
2024-01-01 07:45:00,0.0334989,86.3988,31.5774,0.8164739505093259
2024-01-01 08:00:00,0.0347659,89.9148,31.5935,0.8183168667731503
2024-01-01 08:15:00,0.0254023,64.0164,31.855,0.7908281775860305
2024-01-01 08:30:00,0.0252675,63.1044,31.6078,0.7898500250336853
2024-01-01 08:45:00,0.0151315,32.3976,31.8265,0.6724864111309456
2024-01-01 09:00:00,0.017616399999999997,41.6316,31.7144,0.744887998931953
2024-01-01 09:15:00,0.0256108,64.3356,31.5318,0.796381174283267
2024-01-01 09:30:00,0.0152296,32.9352,31.772,0.6804070294459935
2024-01-01 09:45:00,0.0151029,33.0012,31.7626,0.6876934333884295
2024-01-01 10:00:00,0.015143700000000001,32.784,31.77,0.6811680450390235
2024-01-01 10:15:00,0.0150865,32.7768,31.7352,0.6843501264822788
2024-01-01 10:30:00,0.0151723,32.6664,31.7314,0.678269296428781
2024-01-01 10:45:00,0.0150007,32.7168,31.7162,0.6874160740333148
2024-01-01 11:00:00,0.000814382,0.0,32.1389,0.0
2024-01-01 11:15:00,0.0176777,41.7432,31.6285,0.7463162897299321
2024-01-01 11:30:00,0.020461,48.132,31.5192,0.7460593957373107
2024-01-01 11:45:00,0.000859339,0.0,32.0783,0.0
2024-01-01 12:00:00,0.0008797739999999999,0.0,32.4369,0.0
2024-01-01 12:15:00,0.0265835,67.6104,31.5871,0.8048836911637486
2024-01-01 12:30:00,0.033102400000000004,83.9964,31.1878,0.8133135123993286
2024-01-01 12:45:00,0.015004799999999999,33.126,31.9456,0.6908269546679533
2024-01-01 13:00:00,0.0149803,33.1452,31.9013,0.6933192992915725
2024-01-01 13:15:00,0.0204529,49.95,31.6774,0.7706773697011188
2024-01-01 13:30:00,0.0261462,66.15,31.626,0.7996842462319442
2024-01-01 13:45:00,0.0193902,57.0348,31.6209,0.9298757994354264
2024-01-01 14:00:00,0.0152663,32.904,31.7951,0.6776356505454159
2024-01-01 14:15:00,0.025995,65.79,31.5765,0.8012123073074766
2024-01-01 14:30:00,0.026064499999999997,62.6628,31.7,0.7581282393808011
2024-01-01 14:45:00,0.0151315,32.6304,31.9664,0.6743544432703017
2024-01-01 15:00:00,0.0246421,63.7428,31.6283,0.817559009710134
2024-01-01 15:15:00,0.032146,81.0816,31.4838,0.8008473859880866
2024-01-01 15:30:00,0.0151396,32.4744,31.9691,0.6707147577191382
2024-01-01 15:45:00,0.0194393,47.22,31.8039,0.7634955653147716
2024-01-01 16:00:00,0.0335398,86.5284,31.4474,0.8200776903753562
2024-01-01 16:15:00,0.022177600000000002,52.3872,31.779,0.7430395849376605
2024-01-01 16:30:00,0.014894399999999999,32.6052,32.0821,0.6820914486765777
2024-01-01 16:45:00,0.0317823,82.926,31.5232,0.8274021302622253
2024-01-01 17:00:00,0.0295794,74.3208,31.6065,0.7946687717411746
2024-01-01 17:15:00,0.0152418,33.7836,32.0849,0.6905744643184513
2024-01-01 17:30:00,0.030172,78.498,31.5603,0.8240525496145551
2024-01-01 17:45:00,0.0353912,90.1812,31.4025,0.811144139521725
2024-01-01 18:00:00,0.0151192,32.892,32.0015,0.6795676109418111
2024-01-01 18:15:00,0.0154257,34.3572,32.014,0.6954637195742601
2024-01-01 18:30:00,0.0318967,82.1784,31.5117,0.8173002502839843
2024-01-01 18:45:00,0.025316500000000002,60.2412,31.7229,0.7498227367033942
2024-01-01 19:00:00,0.014927099999999999,32.1888,32.0308,0.672981453769797
2024-01-01 19:15:00,0.0246912,63.2256,31.6341,0.8091644915810384
2024-01-01 19:30:00,0.0296815,75.294,31.5801,0.8029759934458895
2024-01-01 19:45:00,0.0149762,32.5476,32.0251,0.6783727306352114
2024-01-01 20:00:00,0.02501,64.0872,31.6691,0.8088414923975968
2024-01-01 20:15:00,0.032007100000000004,81.2532,31.3641,0.8091012175871388
2024-01-01 20:30:00,0.0148249,31.992,32.0203,0.6736987778830691
2024-01-01 20:45:00,0.019333,47.9196,31.803,0.7790895542332419
2024-01-01 21:00:00,0.0323259,83.3844,31.5424,0.8174872457108674
2024-01-01 21:15:00,0.018818,41.166,32.0524,0.6822541547486596
2024-01-01 21:30:00,0.0221572,55.4736,31.7983,0.7870622956383597
2024-01-01 21:45:00,0.0367604,94.578,31.2595,0.8227528737018771
2024-01-01 22:00:00,0.022382000000000003,50.8764,31.9352,0.7115237137804514
2024-01-01 22:15:00,0.0175143,42.1152,32.0326,0.7504045002997505
2024-01-01 22:30:00,0.0379783,99.6408,31.3716,0.8360005314483202
2024-01-01 22:45:00,0.034046599999999996,86.3544,31.5849,0.8027360254891448
2024-01-01 23:00:00,0.0150865,32.7288,32.2145,0.6731808103841314
2024-01-01 23:15:00,0.0334498,89.07,31.554,0.8435776078389929
2024-01-01 23:30:00,0.0423066,108.0,31.1851,0.8182952450760972
