t,Q,P,Bar,Eta
2024-12-16 00:00:00.017,0.0,-0.48,0.1404294231863024,-inf
2024-12-16 00:15:00.000,0.0,-0.4656,0.1404294231863024,-inf
2024-12-16 00:30:00.017,0.0,-0.472,0.14067144566261988,-inf
2024-12-16 00:45:00.013,0.0,-0.4688,0.14091346813893738,-inf
2024-12-16 01:00:00.017,0.0,-0.4624,0.14091346813893738,-inf
2024-12-16 01:15:00.000,0.0,-0.472,0.14091346813893738,-inf
2024-12-16 01:30:00.000,0.0,-0.4608,0.14091346813893738,-inf
2024-12-16 01:45:00.007,0.0,-0.48,0.14054327573695255,-inf
2024-12-16 02:00:00.013,0.0,-0.464,0.1407996155882872,-inf
2024-12-16 02:15:00.017,0.0,-0.4624,0.14047208111871654,-inf
2024-12-16 02:30:00.013,0.0,-0.704,0.1404294231863024,-inf
2024-12-16 02:45:00.017,0.0,-0.6912,0.1404294231863024,-inf
2024-12-16 03:00:00.013,0.0,-0.712,0.1404294231863024,-inf
2024-12-16 03:15:00.013,0.0,-0.7184,0.1404294231863024,-inf
2024-12-16 03:30:00.013,0.0,-0.7072,0.1404294231863024,-inf
2024-12-16 03:45:00.010,0.0,-0.6896,0.1404294231863024,-inf
2024-12-16 04:00:00.007,0.0,-0.6784,0.1404294231863024,-inf
2024-12-16 04:15:00.013,0.0,-0.6816,0.1404294231863024,-inf
2024-12-16 04:30:00.007,0.0,-0.696,0.1404294231863024,-inf
2024-12-16 04:45:00.007,0.0,-0.7008,0.1404294231863024,-inf
2024-12-16 05:00:00.003,0.0,-0.7264,0.1404294231863024,-inf
2024-12-16 05:15:00.007,0.0,-0.6976,0.1404294231863024,-inf
2024-12-16 05:30:00.013,0.0,-0.704,0.14091346813893738,-inf
2024-12-16 05:45:00.007,0.0,-0.704,0.1404294231863024,-inf
2024-12-16 06:00:00.017,0.0,-0.704,0.1404294231863024,-inf
2024-12-16 06:15:00.007,0.0,-0.6976,0.1404294231863024,-inf
2024-12-16 06:30:00.007,0.0,-0.7216,0.14052905642614782,-inf
2024-12-16 06:45:00.003,0.0,-0.6992,0.1404294231863024,-inf
2024-12-16 07:00:00.013,0.0,-0.7024,0.1404294231863024,-inf
2024-12-16 07:15:00.010,0.0,-0.6976,0.14047208111871654,-inf
2024-12-16 07:30:00.003,0.0,-0.6928,0.14082805420989664,-inf
2024-12-16 07:45:00.013,0.0,-0.704,0.1404294231863024,-inf
2024-12-16 08:00:00.013,0.0,-0.472,0.1404294231863024,-inf
2024-12-16 08:15:00.010,0.0,-0.4576,0.14091346813893738,-inf
2024-12-16 08:30:00.007,0.0,-0.4848,0.1404294231863024,-inf
2024-12-16 08:45:00.017,0.0,-0.4704,0.1404578618079118,-inf
2024-12-16 09:00:00.000,0.0,-0.5088,0.14067144566261988,-inf
2024-12-16 09:15:00.007,0.0,-0.488,0.1413976111557848,-inf
