t,I,P,TMod,Eta
2024-02-01 00:00:00,0.0,0.0,2.3,
2024-02-01 00:10:00,0.0,0.0,2.3,
2024-02-01 00:20:00,0.0,0.0,2.0,
2024-02-01 00:30:00,0.0,0.0,1.8,
2024-02-01 00:40:00,0.0,0.0,1.7,
2024-02-01 00:50:00,0.0,0.0,1.6,
2024-02-01 01:00:00,0.0,0.0,1.5,
2024-02-01 01:10:00,0.0,0.0,1.3,
2024-02-01 01:20:00,0.0,0.0,1.2,
2024-02-01 01:30:00,0.0,0.0,1.4,
2024-02-01 01:40:00,0.0,0.0,1.4,
2024-02-01 01:50:00,0.0,0.0,1.2,
2024-02-01 02:00:00,0.0,0.0,0.8,
2024-02-01 02:10:00,0.0,0.0,0.7,
2024-02-01 02:20:00,0.0,0.0,0.7,
2024-02-01 02:30:00,0.0,0.0,0.6,
2024-02-01 02:40:00,0.0,0.0,0.6,
2024-02-01 02:50:00,0.0,0.0,0.3,
2024-02-01 03:00:00,0.0,0.0,0.2,
2024-02-01 03:10:00,0.0,0.0,0.2,
2024-02-01 03:20:01,0.0,0.0,0.2,
2024-02-01 03:30:00,0.0,0.0,0.4,
2024-02-01 03:40:00,0.0,0.0,0.5,
2024-02-01 03:50:00,0.0,0.0,0.5,
2024-02-01 04:00:00,0.0,0.0,0.3,
2024-02-01 04:10:00,0.0,0.0,0.6,
2024-02-01 04:20:00,0.0,0.0,0.6,
2024-02-01 04:30:00,0.0,0.0,0.6,
2024-02-01 04:40:00,0.0,0.0,0.6,
2024-02-01 04:50:00,0.0,0.0,0.5,
2024-02-01 05:00:00,0.0,0.0,0.7,
2024-02-01 05:10:00,0.0,0.0,1.1,
2024-02-01 05:20:00,0.0,0.0,1.3,
2024-02-01 05:30:00,0.0,0.0,1.3,
2024-02-01 05:40:00,0.0,0.0,1.0,
2024-02-01 05:50:00,0.0,0.0,0.8,
2024-02-01 06:00:00,0.0,0.0,0.7,
2024-02-01 06:10:01,0.0,0.0,0.9,
2024-02-01 06:20:00,0.0,0.0,0.9,
2024-02-01 06:30:00,0.0,0.0,1.0,
2024-02-01 06:40:00,0.0,0.0,0.9,
2024-02-01 06:50:00,0.0,0.0,0.7,
2024-02-01 07:00:00,0.0,0.0,0.4,
2024-02-01 07:10:00,0.0,0.0,0.0,
2024-02-01 07:20:00,0.0,0.0,-0.4,
2024-02-01 07:30:00,0.0,0.0,-0.6,
2024-02-01 07:40:00,0.0,0.0,-0.8,
2024-02-01 07:50:00,0.0,0.0,-0.8,
2024-02-01 08:00:00,0.5,0.0,-0.9,0.0
2024-02-01 08:10:00,3.4,0.0,-0.9,0.0
2024-02-01 08:20:00,8.9,6.0,-0.5,0.7275288174164579
2024-02-01 08:30:00,14.8,12.0,0.6,0.8750008750008749
2024-02-01 08:40:00,32.9,23.0,1.3,0.7544333785468538
2024-02-01 08:50:00,48.8,39.0,1.5,0.8624496329414363
2024-02-01 09:00:00,63.7,59.0,1.4,0.9995431240852486
2024-02-01 09:10:00,,67.0,,
2024-02-01 09:20:00,171.0,63.0,8.4,0.39758811688636253
2024-02-01 09:30:00,171.0,80.0,8.4,0.5048737992207778
2024-02-01 09:40:00,169.9,136.0,9.6,0.8638423392200123
2024-02-01 09:50:00,231.2,226.0,9.4,1.0548958069142615
2024-02-01 10:00:00,,308.0,,
2024-02-01 10:10:00,,310.0,,
2024-02-01 10:20:00,,356.0,,
2024-02-01 10:30:00,,361.0,,
2024-02-01 10:40:00,452.3,362.0,23.3,0.8637159495734188
2024-02-01 10:50:00,485.9,431.0,23.8,0.9572366710323766
2024-02-01 11:00:00,589.4,474.0,24.6,0.8678749771386352
2024-02-01 11:10:00,624.4,485.0,28.0,0.8382388800923929
2024-02-01 11:20:00,639.5,501.0,29.0,0.8454465061189065
2024-02-01 11:30:00,659.9,511.0,31.5,0.835664067466866
2024-02-01 11:40:01,673.0,529.0,30.8,0.8482611256261577
2024-02-01 11:50:00,700.8,541.0,31.9,0.8330903973978556
2024-02-01 12:00:00,718.3,557.0,31.9,0.8368320122925906
2024-02-01 12:10:00,742.3,565.0,32.8,0.8214061382142571
2024-02-01 12:20:00,748.7,572.0,33.5,0.8244743563740936
2024-02-01 12:30:00,762.8,578.0,33.9,0.8177228068855407
2024-02-01 12:40:00,781.9,588.0,34.6,0.8115496029551535
2024-02-01 12:50:00,789.3,587.0,36.6,0.802573757512733
2024-02-01 13:00:00,796.1,589.0,35.5,0.7984295971567252
2024-02-01 13:10:00,801.3,586.0,36.9,0.7892079109683836
2024-02-01 13:20:00,799.3,592.0,36.8,0.7992835049843265
2024-02-01 13:30:00,797.0,579.0,36.5,0.7839876095835945
2024-02-01 13:40:00,788.2,578.0,38.6,0.7913714248823781
2024-02-01 13:50:00,783.0,576.0,37.5,0.7938705256712919
2024-02-01 14:00:00,780.7,574.0,37.8,0.793444711296212
2024-02-01 14:10:00,769.0,553.0,38.2,0.7760465064322888
2024-02-01 14:20:00,753.5,558.0,36.6,0.7991713366630421
2024-02-01 14:30:00,736.0,538.0,37.8,0.7888481620365678
2024-02-01 14:40:00,721.9,525.0,37.9,0.7848220897119638
2024-02-01 14:50:00,707.7,511.0,35.0,0.7792210232038784
2024-02-01 15:00:00,680.4,501.0,36.7,0.7946252802219881
2024-02-01 15:10:01,650.5,476.0,36.3,0.7896753989503157
2024-02-01 15:20:00,636.1,462.0,35.7,0.7838005008261257
2024-02-01 15:30:00,601.0,448.0,33.4,0.804437853800028
2024-02-01 15:40:00,555.8,425.0,34.8,0.8252002374588437
2024-02-01 15:50:00,555.8,394.0,34.8,0.765009161314787
2024-02-01 16:00:00,,375.0,,
2024-02-01 16:10:00,,360.0,,
2024-02-01 16:20:00,,336.0,,
2024-02-01 16:30:00,409.5,306.0,29.1,0.8064110628213192
2024-02-01 16:40:00,379.3,251.0,25.6,0.7141342056536714
2024-02-01 16:50:00,357.7,119.0,26.2,0.35901862385880656
2024-02-01 17:00:00,290.3,55.0,24.2,0.20445823637923766
2024-02-01 17:10:00,221.2,48.0,22.4,0.2341774493673228
2024-02-01 17:20:00,204.4,38.0,22.2,0.20062805450933305
2024-02-01 17:30:00,117.3,35.0,16.2,0.3220023112037889
2024-02-01 17:40:01,113.6,21.0,15.0,0.19949403752220654
2024-02-01 17:50:00,40.3,13.0,12.6,0.3481186276885202
2024-02-01 18:00:00,24.4,2.0,10.4,0.08845637260937808
2024-02-01 18:10:00,12.0,0.0,9.5,0.0
2024-02-01 18:20:00,3.8,0.0,7.9,0.0
2024-02-01 18:30:00,1.0,0.0,6.5,0.0
2024-02-01 18:40:00,0.4,0.0,5.5,0.0
2024-02-01 18:50:00,0.0,0.0,5.2,
2024-02-01 19:00:00,0.0,0.0,4.2,
2024-02-01 19:10:00,0.0,0.0,3.8,
2024-02-01 19:20:00,0.0,0.0,3.4,
2024-02-01 19:30:00,0.0,0.0,3.1,
2024-02-01 19:40:00,0.0,0.0,3.0,
2024-02-01 19:50:00,0.0,0.0,2.9,
2024-02-01 20:00:00,0.0,0.0,3.0,
2024-02-01 20:10:00,0.0,0.0,2.6,
2024-02-01 20:20:00,0.0,0.0,1.9,
2024-02-01 20:30:00,0.0,0.0,1.6,
2024-02-01 20:40:00,0.0,0.0,1.6,
2024-02-01 20:50:00,0.0,0.0,1.4,
2024-02-01 21:00:00,0.0,0.0,1.4,
2024-02-01 21:10:00,0.0,0.0,1.6,
2024-02-01 21:20:00,0.0,0.0,1.8,
2024-02-01 21:30:00,0.0,0.0,1.9,
2024-02-01 21:40:00,0.0,0.0,2.1,
2024-02-01 21:50:00,0.0,0.0,1.8,
2024-02-01 22:00:00,0.0,0.0,2.2,
2024-02-01 22:10:00,0.0,0.0,2.2,
2024-02-01 22:20:00,0.0,0.0,2.0,
2024-02-01 22:30:00,0.0,0.0,1.6,
2024-02-01 22:40:00,0.0,0.0,1.3,
2024-02-01 22:50:00,0.0,0.0,1.2,
2024-02-01 23:00:00,0.0,0.0,0.8,
2024-02-01 23:10:00,0.0,0.0,0.7,
2024-02-01 23:20:00,0.0,0.0,0.6,
2024-02-01 23:30:00,0.0,0.0,0.5,
2024-02-01 23:40:00,0.0,0.0,0.4,
2024-02-01 23:50:00,0.0,0.0,0.2,
2024-02-02 00:00:00,0.0,0.0,0.1,
2024-02-02 00:10:00,0.0,0.0,0.2,
2024-02-02 00:20:00,0.0,0.0,-0.1,
2024-02-02 00:30:00,0.0,0.0,-0.4,
2024-02-02 00:40:00,0.0,0.0,-0.5,
2024-02-02 00:50:00,0.0,0.0,-0.5,
2024-02-02 01:00:00,0.0,0.0,-0.7,
2024-02-02 01:10:00,0.0,0.0,-0.5,
2024-02-02 01:20:00,0.0,0.0,0.5,
2024-02-02 01:30:00,0.0,0.0,0.9,
2024-02-02 01:40:00,0.0,0.0,0.7,
2024-02-02 01:50:01,0.0,0.0,0.4,
2024-02-02 02:00:00,0.0,0.0,-0.1,
2024-02-02 02:10:00,0.0,0.0,-0.7,
2024-02-02 02:20:00,0.0,0.0,-0.8,
2024-02-02 02:30:00,0.0,0.0,-1.1,
2024-02-02 02:40:00,0.0,0.0,-1.8,
2024-02-02 02:50:00,0.0,0.0,-1.9,
2024-02-02 03:00:00,0.0,0.0,-2.0,
2024-02-02 03:10:00,0.0,0.0,-2.4,
2024-02-02 03:20:00,0.0,0.0,-2.2,
2024-02-02 03:30:00,0.0,0.0,-2.0,
2024-02-02 03:40:00,0.0,0.0,-1.9,
2024-02-02 03:50:00,0.0,0.0,-1.7,
2024-02-02 04:00:00,0.0,0.0,-2.0,
2024-02-02 04:10:00,0.0,0.0,-2.4,
2024-02-02 04:20:00,0.0,0.0,-1.8,
2024-02-02 04:30:00,0.0,0.0,-0.1,
2024-02-02 04:40:00,0.0,0.0,0.5,
2024-02-02 04:50:00,0.0,0.0,0.7,
2024-02-02 05:00:00,0.0,0.0,1.1,
2024-02-02 05:10:00,0.0,0.0,0.8,
