t,I,P,TMod,Eta
2024-01-01 00:00:00,0.0,0.0,9.3,
2024-01-01 00:10:00,0.0,0.0,9.2,
2024-01-01 00:20:00,0.0,0.0,8.8,
2024-01-01 00:30:00,0.0,0.0,8.4,
2024-01-01 00:40:00,0.0,0.0,8.7,
2024-01-01 00:50:00,0.0,0.0,8.7,
2024-01-01 01:00:00,0.0,0.0,8.6,
2024-01-01 01:10:00,0.0,0.0,8.7,
2024-01-01 01:20:00,0.0,0.0,8.5,
2024-01-01 01:30:00,0.0,0.0,8.6,
2024-01-01 01:40:00,0.0,0.0,8.3,
2024-01-01 01:50:00,0.0,0.0,7.7,
2024-01-01 02:00:00,0.0,0.0,7.1,
2024-01-01 02:10:00,0.0,0.0,6.7,
2024-01-01 02:20:00,0.0,0.0,6.2,
2024-01-01 02:30:00,0.0,0.0,5.9,
2024-01-01 02:40:00,0.0,0.0,5.8,
2024-01-01 02:50:00,0.0,0.0,5.9,
2024-01-01 03:00:00,0.0,0.0,5.6,
2024-01-01 03:10:00,0.0,0.0,6.3,
2024-01-01 03:20:00,0.0,0.0,7.5,
2024-01-01 03:30:00,0.0,0.0,7.2,
2024-01-01 03:40:00,0.0,0.0,7.3,
2024-01-01 03:50:00,0.0,0.0,7.8,
2024-01-01 04:00:00,0.0,0.0,7.9,
2024-01-01 04:10:00,0.0,0.0,8.3,
2024-01-01 04:20:00,0.0,0.0,9.1,
2024-01-01 04:30:00,0.0,0.0,9.3,
2024-01-01 04:40:00,0.0,0.0,9.4,
2024-01-01 04:50:00,0.0,0.0,9.5,
2024-01-01 05:00:00,0.0,0.0,9.4,
2024-01-01 05:10:00,0.0,0.0,9.4,
2024-01-01 05:20:00,0.0,0.0,9.5,
2024-01-01 05:30:00,0.0,0.0,9.3,
2024-01-01 05:40:00,0.0,0.0,9.2,
2024-01-01 05:50:00,0.0,0.0,9.2,
2024-01-01 06:00:01,0.0,0.0,8.6,
2024-01-01 06:10:00,0.0,0.0,8.4,
2024-01-01 06:20:00,0.0,0.0,7.9,
2024-01-01 06:30:00,0.0,0.0,8.2,
2024-01-01 06:40:00,0.0,0.0,8.6,
2024-01-01 06:50:00,0.0,0.0,8.4,
2024-01-01 07:00:00,0.0,0.0,8.6,
2024-01-01 07:10:00,0.3,0.0,8.5,0.0
2024-01-01 07:20:00,2.7,0.0,8.2,0.0
2024-01-01 07:30:00,8.1,0.0,8.0,0.0
2024-01-01 07:40:00,17.9,3.4,8.0,0.2049815830076538
2024-01-01 07:50:00,29.2,18.2,8.3,0.672631951170764
2024-01-01 08:00:00,114.8,33.6,11.6,0.3158539743905598
2024-01-01 08:10:00,129.8,44.900000000000006,13.4,0.37330224798124134
2024-01-01 08:20:00,131.7,52.5,15.0,0.43019215380642867
2024-01-01 08:30:00,149.4,57.4,15.4,0.41462000408899113
2024-01-01 08:40:00,,58.0,,
2024-01-01 08:50:00,110.9,69.0,15.8,0.6714389040809239
2024-01-01 09:00:00,112.7,75.5,13.5,0.7229562094986526
2024-01-01 09:10:00,,78.80000000000001,,
2024-01-01 09:20:00,129.9,85.6,15.3,0.7111374830132848
2024-01-01 09:30:00,,97.9,,
2024-01-01 09:40:00,158.8,109.1,17.8,0.7414181427615516
2024-01-01 09:50:00,,120.5,,
2024-01-01 10:00:00,204.0,142.8,19.7,0.7554174220840888
2024-01-01 10:10:00,204.0,129.0,19.7,0.6824148981011726
2024-01-01 10:20:00,201.1,176.89999999999998,17.9,0.9493027063058554
2024-01-01 10:30:00,,338.1,,
2024-01-01 10:40:00,555.7,438.1,25.9,0.8507888958971678
2024-01-01 10:50:00,570.6,428.9,28.8,0.8111725309996136
2024-01-01 11:00:00,541.5,387.9,27.7,0.7730547896752883
2024-01-01 11:10:00,436.2,337.2,27.7,0.8342397154868498
2024-01-01 11:20:00,570.6,355.1,27.8,0.6715956301188221
2024-01-01 11:30:00,518.6,502.5,24.9,1.0456648520667031
2024-01-01 11:40:00,708.4,544.9,28.4,0.8300938801597564
2024-01-01 11:50:00,699.9,532.4,28.6,0.8209014257497375
2024-01-01 12:00:00,643.2,423.9,29.8,0.7112238921940414
2024-01-01 12:10:00,604.4,351.6,29.8,0.6277885166038707
2024-01-01 12:20:00,280.7,200.2,25.2,0.7696807364305286
2024-01-01 12:30:00,246.0,226.8,22.1,0.9949400193302633
2024-01-01 12:40:00,162.3,105.3,24.1,0.700162437685543
2024-01-01 12:50:00,119.1,77.4,21.2,0.7013231194591396
2024-01-01 13:00:01,99.8,71.4,16.5,0.7720699103464636
2024-01-01 13:10:00,76.8,65.30000000000001,18.0,0.9175736172263952
2024-01-01 13:20:00,74.9,35.900000000000006,17.9,0.5172512960674955
2024-01-01 13:30:00,,27.200000000000003,,
2024-01-01 13:40:00,60.9,43.3,17.0,0.7672900393206907
2024-01-01 13:50:00,62.5,37.1,14.2,0.6405939739273073
2024-01-01 14:00:00,60.7,34.2,15.1,0.6080319095146113
2024-01-01 14:10:00,33.0,16.9,17.3,0.5526646940788355
2024-01-01 14:20:00,40.0,21.2,13.7,0.5719589052922386
2024-01-01 14:30:00,59.2,39.4,14.4,0.7182298848965516
2024-01-01 14:40:00,69.1,44.5,14.9,0.6949777813260689
2024-01-01 14:50:00,41.8,21.9,14.0,0.5654012831046324
2024-01-01 15:00:00,29.5,13.600000000000001,14.7,0.4975146218084072
2024-01-01 15:10:00,23.1,10.100000000000001,16.5,0.47184390618734057
2024-01-01 15:20:00,18.8,6.6,15.8,0.3788567618354853
2024-01-01 15:30:00,18.8,6.4,14.3,0.3673762539010766
2024-01-01 15:40:00,14.9,1.7,14.2,0.12312652133681216
2024-01-01 15:50:00,17.4,3.6,14.2,0.22327608534505086
2024-01-01 16:00:00,9.9,0.7,13.6,0.0763047901095039
2024-01-01 16:10:00,6.1,0.1,12.8,0.01769127452187562
2024-01-01 16:20:00,3.9,0.0,12.7,0.0
2024-01-01 16:30:00,1.9,0.0,12.1,0.0
2024-01-01 16:40:00,0.8,0.0,12.5,0.0
2024-01-01 16:50:00,0.6,0.0,12.6,0.0
2024-01-01 17:00:00,0.1,0.0,12.8,0.0
2024-01-01 17:10:00,0.0,0.0,13.3,
2024-01-01 17:20:00,0.0,0.0,12.4,
2024-01-01 17:30:00,0.0,0.0,11.8,
2024-01-01 17:40:00,0.0,0.0,11.6,
2024-01-01 17:50:00,0.0,0.0,11.4,
2024-01-01 18:00:00,0.0,0.0,11.2,
2024-01-01 18:10:00,0.0,0.0,10.9,
2024-01-01 18:20:00,0.0,0.0,11.1,
2024-01-01 18:30:00,0.0,0.0,11.4,
2024-01-01 18:40:00,0.0,0.0,11.0,
2024-01-01 18:50:00,0.0,0.0,11.3,
2024-01-01 19:00:00,0.0,0.0,11.8,
2024-01-01 19:10:00,0.0,0.0,12.1,
2024-01-01 19:20:00,0.0,0.0,12.1,
2024-01-01 19:30:00,0.0,0.0,12.2,
2024-01-01 19:40:00,0.0,0.0,12.4,
2024-01-01 19:50:00,0.0,0.0,12.4,
2024-01-01 20:00:00,0.0,0.0,12.3,
2024-01-01 20:10:00,0.0,0.0,12.6,
2024-01-01 20:20:00,0.0,0.0,12.4,
2024-01-01 20:30:00,0.0,0.0,12.2,
2024-01-01 20:40:00,0.0,0.0,12.0,
2024-01-01 20:50:00,0.0,0.0,11.6,
2024-01-01 21:00:00,0.0,0.0,11.5,
2024-01-01 21:10:00,0.0,0.0,11.6,
2024-01-01 21:20:00,0.0,0.0,11.3,
2024-01-01 21:30:00,0.0,0.0,11.2,
2024-01-01 21:40:00,0.0,0.0,11.0,
2024-01-01 21:50:00,0.0,0.0,10.9,
2024-01-01 22:00:00,0.0,0.0,11.2,
2024-01-01 22:10:00,0.0,0.0,11.6,
2024-01-01 22:20:00,0.0,0.0,11.8,
2024-01-01 22:30:00,0.0,0.0,11.8,
2024-01-01 22:40:00,0.0,0.0,11.4,
2024-01-01 22:50:00,0.0,0.0,11.4,
2024-01-01 23:00:00,0.0,0.0,11.5,
2024-01-01 23:10:00,0.0,0.0,11.2,
2024-01-01 23:20:00,0.0,0.0,10.8,
2024-01-01 23:30:00,0.0,0.0,10.9,
2024-01-01 23:40:00,0.0,0.0,10.9,
2024-01-01 23:50:00,0.0,0.0,10.8,
2024-01-02 00:00:00,0.0,0.0,10.3,
2024-01-02 00:10:00,0.0,0.0,10.2,
2024-01-02 00:20:00,0.0,0.0,10.5,
2024-01-02 00:30:00,0.0,0.0,10.7,
2024-01-02 00:40:00,0.0,0.0,10.5,
2024-01-02 00:50:00,0.0,0.0,10.2,
2024-01-02 01:00:00,0.0,0.0,9.6,
2024-01-02 01:10:00,0.0,0.0,9.0,
2024-01-02 01:20:00,0.0,0.0,8.5,
2024-01-02 01:30:00,0.0,0.0,8.9,
2024-01-02 01:40:00,0.0,0.0,9.6,
2024-01-02 01:50:00,0.0,0.0,9.8,
2024-01-02 02:00:00,0.0,0.0,9.8,
2024-01-02 02:10:00,0.0,0.0,9.8,
