t,Q,P,Bar,Eta
2025-01-10 00:05:17,0.06415375,140.6059,27.09906,0.8084791199590395
2025-01-10 00:20:17,0.06431463999999999,140.5007,27.09906,0.8058532391588522
2025-01-10 00:35:17,0.06419665000000001,140.7933,27.09542,0.8091243530946154
2025-01-10 00:50:17,0.06414302000000001,140.6582,27.09542,0.8090238075238029
2025-01-10 01:05:17,0.06408939,140.8137,27.09542,0.8105959364440248
2025-01-10 01:20:17,0.06427174,140.5832,27.09542,0.8069730243734772
2025-01-10 01:35:17,0.06392313,139.2103,26.91557,0.8088189042798866
2025-01-10 01:50:17,0.027534310000000003,62.06143,28.03288,0.8037507664810931
2025-01-10 02:05:17,0.022122910000000003,49.90477,28.24363,0.7984005543521246
2025-01-10 02:20:17,0.01644872,26.96905,28.45982,0.5758944976684185
2025-01-10 02:35:17,0.04194503,90.23728,28.16369,0.7635851412469075
2025-01-10 02:50:17,0.02343151,48.00008,27.84394,0.735448950649103
2025-01-10 03:05:17,0.06419665000000001,140.0297,27.03365,0.8065747893943196
2025-01-10 03:20:17,0.0642181,140.4149,27.09361,0.8067340828072643
2025-01-10 03:35:17,0.0642181,140.8398,27.09906,0.8090125496004019
2025-01-10 03:50:17,0.06429855000000001,140.6749,27.09906,0.8070542833564766
2025-01-10 04:05:17,0.06431999999999999,140.7451,27.09724,0.8072419592452156
2025-01-10 04:20:17,0.06419665000000001,140.3965,27.09724,0.8067897929528365
2025-01-10 04:35:17,0.06413229,140.3859,27.09542,0.8075927156078389
2025-01-10 04:50:17,0.06418593,140.5605,27.09724,0.8078671237100169
2025-01-10 05:05:17,0.06439509,140.4772,27.09542,0.8048199587642242
2025-01-10 05:20:17,0.06435218000000001,140.8749,27.09542,0.8076366287269665
2025-01-10 05:35:17,0.06427174,140.7303,27.09906,0.8077088973585484
2025-01-10 05:50:17,0.06440045000000001,140.7135,27.09724,0.8060525255433837
2025-01-10 06:05:17,0.06427174,140.6938,27.10269,0.8073912564224061
2025-01-10 06:20:17,0.06416447,140.6779,27.11177,0.8083788293908301
2025-01-10 06:35:17,0.06422883,140.667,27.10451,0.8077225198908654
2025-01-10 06:50:17,0.06423419,140.4958,27.09179,0.807050900673739
2025-01-10 07:05:17,0.06420737,140.8148,27.08634,0.8093840343907825
2025-01-10 07:20:17,0.06435218000000001,140.4226,27.09906,0.8049354551046912
2025-01-10 07:35:17,0.06435218000000001,140.421,27.09906,0.8049262835274085
2025-01-10 07:50:17,0.06424492,140.4493,27.10088,0.8063784827985683
2025-01-10 08:05:17,0.06416983999999999,140.5639,27.08997,0.8083060981646849
2025-01-10 08:20:17,0.06428246,140.3637,27.09542,0.8055786906972485
2025-01-10 08:35:17,0.06429319,140.9278,27.09179,0.8087895564740424
2025-01-10 08:50:17,0.06429319,140.9707,27.09179,0.8090357610693936
2025-01-10 09:05:17,0.06425565,140.5708,27.09724,0.8070496896414397
2025-01-10 09:20:17,0.06423419,140.6344,27.09361,0.807792794787411
2025-01-10 09:35:17,0.064379,140.5042,27.09724,0.8051217509990526
2025-01-10 09:50:17,0.06430928,140.8671,27.10269,0.8079138745924391
2025-01-10 10:05:17,0.06427174,140.7976,27.10269,0.8079869273931
2025-01-10 10:20:17,0.06435218000000001,140.7128,27.09542,0.8067073084753345
2025-01-10 10:35:17,0.06434145,140.462,27.09906,0.8052955791478401
2025-01-10 10:50:17,0.06428246,140.6702,27.10451,0.8070670071101004
2025-01-10 11:05:17,0.06411620000000001,140.5719,27.09724,0.8088113173818763
2025-01-10 11:20:17,0.0642771,140.7108,27.10088,0.807475403340564
2025-01-10 11:35:17,0.06434145,140.7899,27.09724,0.8072297070769269
2025-01-10 11:50:17,0.06430928,140.4776,27.09361,0.8059499896260915
2025-01-10 12:05:17,0.06418593,140.6081,27.09179,0.8083032752497745
2025-01-10 12:20:17,0.06426101,140.9384,27.10633,0.8088213488990195
2025-01-10 12:35:17,0.06430928,140.6822,27.09906,0.8069614996274639
2025-01-10 12:50:17,0.06429319,140.1902,27.10088,0.8042865853009094
2025-01-10 13:05:17,0.06423956,140.7327,27.10088,0.8080730194679545
2025-01-10 13:20:17,0.06421273999999999,140.8135,27.09724,0.808983326879627
2025-01-10 13:35:17,0.06422346,140.7673,27.10269,0.8084203201937689
2025-01-10 13:50:17,0.06433073,140.4734,27.09361,0.805657170894183
