t,Q,P,Bar,Eta
2024-03-01 00:10:58,0.0,0.0,0.4578257,
2024-03-01 00:25:58,0.0,0.0,0.4124069,
2024-03-01 00:40:58,0.0,0.0,0.4323912,
2024-03-01 00:55:58,0.0,0.0,0.4451084,
2024-03-01 01:10:58,0.0,0.0,0.3996887,
2024-03-01 01:25:58,0.0,0.0,0.4251242,
2024-03-01 01:40:58,0.0,0.0,0.4323912,
2024-03-01 01:55:58,0.0,0.0,0.3778877,
2024-03-01 02:10:58,0.0,0.0,0.390605,
2024-03-01 02:25:58,0.0,0.0,0.3669872,
2024-03-01 02:40:58,0.0,0.0,0.390605,
2024-03-01 02:55:58,0.0,0.0,0.3706207,
2024-03-01 03:10:58,0.0,0.0,0.390605,
2024-03-01 03:25:58,0.0,0.0,0.3651705,
2024-03-01 03:40:58,0.0,0.0,0.3560867,
2024-03-01 03:55:58,0.0,0.0,0.332468,
2024-03-01 04:10:58,0.0,0.0,0.3506365,
2024-03-01 04:25:58,0.0,0.0,0.3651705,
2024-03-01 04:40:58,0.0,0.0,0.3433685,
2024-03-01 04:55:58,0.0,0.0,0.3270178,
2024-03-01 05:10:58,0.0,0.0,0.3451853,
2024-03-01 05:25:58,0.0,0.0,0.3524532,
2024-03-01 05:40:58,0.0,0.0,0.3306513,
2024-03-01 05:55:58,0.0,0.0,0.3433685,
2024-03-01 06:10:58,0.0,0.0,0.3143005,
2024-03-01 06:25:58,0.0,0.0,0.3524532,
2024-03-01 06:40:58,0.0,0.0,0.332468,
2024-03-01 06:55:58,0.0,0.0,0.3233843,
2024-03-01 07:10:58,0.0,0.0,0.3288345,
2024-03-01 07:25:58,0.0,0.0,0.3361015,
2024-03-01 07:40:58,0.0,0.0,0.1762257,
2024-03-01 07:55:58,0.0,0.0,0.3706207,
2024-03-01 08:10:58,0.0,0.0,0.6304197,
2024-03-01 08:25:58,0.0,0.0,0.7557774,
2024-03-01 08:40:58,0.0,0.0,0.2852316,
2024-03-01 08:55:58,0.0,0.0,0.6013517,
2024-03-01 09:10:58,0.0,0.0,1.189987,
2024-03-01 09:25:58,0.0,0.0,6.275148,
2024-03-01 09:40:58,0.0,0.0,12.2469,
2024-03-01 09:55:58,0.0,0.0,15.87864,
2024-03-01 10:10:58,0.0,0.0,17.62456,
2024-03-01 10:25:58,0.0,0.0,18.21138,
2024-03-01 10:40:58,0.0,0.0,18.5929,
2024-03-01 10:55:58,0.0,0.0,18.92174,
2024-03-01 11:10:58,0.0,0.0,18.75278,
2024-03-01 11:25:58,0.0,0.0,18.70009,
2024-03-01 11:40:58,0.0,0.0,18.68011,
2024-03-01 11:55:58,0.0,0.0,18.47845,
2024-03-01 12:10:58,0.0,0.0,18.38216,
2024-03-01 12:25:58,0.0,0.0,18.47845,
2024-03-01 12:40:58,0.0,0.0,18.22773,
2024-03-01 12:55:58,0.0,0.0,18.21501,
2024-03-01 13:10:58,0.0,0.0,18.07694,
2024-03-01 13:25:58,0.0,0.0,17.9207,
2024-03-01 13:40:58,0.0,0.0,17.78262,
2024-03-01 13:55:58,0.0,0.0,17.63728,
2024-03-01 14:10:58,0.0,0.0,17.73902,
2024-03-01 14:25:58,0.0,0.0,17.58459,
2024-03-01 14:40:58,0.0,0.0,17.43017,
2024-03-01 14:55:58,0.0,0.0,16.36008,
2024-03-01 15:10:58,0.0,0.0,15.96584,
2024-03-01 15:25:58,0.0,0.0,16.77068,
2024-03-01 15:40:58,0.0,0.0,16.95417,
2024-03-01 15:55:58,0.0,0.0,17.03229,
2024-03-01 16:10:58,0.0,0.0,17.88073,
2024-03-01 16:25:58,0.0,0.0,18.98351,
2024-03-01 16:40:58,0.0,0.0,19.51401,
2024-03-01 16:55:58,0.0,0.0,19.97729,
2024-03-01 17:10:58,0.0,0.0,20.53504,
2024-03-01 17:25:58,0.0,0.0,21.11459,
2024-03-01 17:40:58,0.0,0.0,22.32093,
2024-03-01 17:55:58,0.0,0.0,23.03856,
2024-03-01 18:10:58,0.0,0.0,23.3456,
2024-03-01 18:25:58,0.0,0.0,24.16496,
2024-03-01 18:40:58,0.0,0.0,26.1071,
2024-03-01 18:55:58,0.0,0.0,28.75959,
2024-03-01 19:10:58,0.08184671,167.5408,26.48862,0.7725054686593092
2024-03-01 19:25:58,0.07973363,164.9628,26.18522,0.7898230309388174
2024-03-01 19:40:58,0.07422034,157.51,26.50497,0.800385869046734
2024-03-01 19:55:58,0.07082548,147.4249,26.76477,0.7774264944378224
2024-03-01 20:10:58,0.06299531,136.8661,27.11359,0.8010178382512063
2024-03-01 20:25:58,0.06192268,135.188,27.11541,0.8048477989092394
2024-03-01 20:40:58,0.06767196,143.2101,27.03184,0.7825837433295758
2024-03-01 20:55:58,0.07053050000000001,145.6594,26.81382,0.7699178736235733
2024-03-01 21:10:58,0.06776313,141.8987,26.78657,0.7814647451415736
2024-03-01 21:25:58,0.06301675999999999,137.0534,27.07544,0.802970810550953
2024-03-01 21:40:58,0.0,0.4927992,28.63787,inf
2024-03-01 21:55:58,0.05250503,112.5253,27.37521,0.7825882925104154
2024-03-01 22:10:58,0.045162909999999994,99.47992,27.39701,0.8036961341900141
2024-03-01 22:25:58,0.027255420000000002,55.75673,28.34174,0.7215383925918611
2024-03-01 22:40:58,0.05458056,118.8589,27.52964,0.7907418504569054
2024-03-01 22:55:58,0.0404809,88.83203,27.62956,0.7939387440253108
2024-03-01 23:10:58,0.04781229,104.1079,27.68769,0.786138299376364
2024-03-01 23:25:58,0.054548389999999995,119.7105,27.37884,0.8012661601115674
2024-03-01 23:40:58,0.06255553,135.361,27.11177,0.7978321116165773
2024-03-01 23:55:58,0.06898056,143.798,26.74842,0.7790575372857583
2024-03-02 00:10:58,0.06968849,147.6508,26.83199,0.7893387145415351
2024-03-02 00:25:58,0.0706485,148.9635,26.78294,0.7869736866904931
2024-03-02 00:40:58,0.07153341,146.8504,26.76841,0.7666288652567756
2024-03-02 00:55:58,0.07011218,148.1573,26.75024,0.7896659988100068
2024-03-02 01:10:58,0.07068067,149.3689,26.79929,0.788275038196143
2024-03-02 01:25:58,0.06831554,144.4209,26.92646,0.7848249810032871
2024-03-02 01:40:58,0.06902883,145.4748,26.85561,0.7844472998569892
2024-03-02 01:55:58,0.06925945,145.9096,26.85925,0.7840657521812107
2024-03-02 02:10:58,0.07168358000000001,152.7296,26.75387,0.7960831886496764
2024-03-02 02:25:58,0.07098637,149.3203,26.55221,0.7919262680041679
2024-03-02 02:40:58,0.07267575999999999,155.2892,26.73025,0.7990798647599685
2024-03-02 02:55:58,0.07423106,156.9868,26.66666,0.7927758072378868
2024-03-02 03:10:58,0.07630659,160.6533,26.57764,0.791867880633267
2024-03-02 03:25:58,0.07686436,162.0347,26.54676,0.79380353372081
2024-03-02 03:40:58,0.07570056,159.5131,26.59581,0.7920007243860059
2024-03-02 03:55:58,0.07521251999999999,158.7599,26.61216,0.7928884440890761
2024-03-02 04:10:58,0.07315844,152.5579,26.78839,0.7781533477279835
2024-03-02 04:25:58,0.0713028,149.7556,26.6921,0.786566201859015
2024-03-02 04:40:58,0.06917364000000001,145.4686,26.84653,0.783036501977079
2024-03-02 04:55:58,0.06802056000000001,143.4623,26.89558,0.7838955686351956
2024-03-02 05:10:58,0.06835307,142.7368,26.86651,0.776977090876635
2024-03-02 05:25:58,0.06792403,142.5161,26.91375,0.7793056190067107
2024-03-02 05:40:58,0.06813319,144.8767,26.87923,0.7907961312154118
2024-03-02 05:55:58,0.07039643,147.8737,26.83381,0.7825273065672496
2024-03-02 06:10:58,0.07193028,151.5572,26.72117,0.7882262424191194
2024-03-02 06:25:58,0.07305118000000001,154.3982,26.71209,0.7909493356844018
2024-03-02 06:40:58,0.07243978,152.5968,26.75932,0.7869275828187711
2024-03-02 06:55:58,0.07365721,155.0835,26.68483,0.7887283045668549
2024-03-02 07:10:58,0.07379665,155.2969,26.68847,0.7882137367315643
2024-03-02 07:25:58,0.07210727,152.4404,26.7139,0.7910888581715426
2024-03-02 07:40:58,0.07011218,147.8782,26.83199,0.7857770473271307
2024-03-02 07:55:58,0.07141542,150.1749,26.78476,0.7848002540218226
2024-03-02 08:10:58,0.07111508999999999,150.404,26.80293,0.7887818118168427
2024-03-02 08:25:58,0.06928626,145.7602,26.79566,0.7848179279282258
2024-03-02 08:40:58,0.06338145,137.9627,27.08089,0.8034856393112444
2024-03-02 08:55:58,0.06304358,137.5204,27.08816,0.804985933186686
2024-03-02 09:10:58,0.07112582,150.0989,26.7793,0.7877574881413285
2024-03-02 09:25:58,0.07132425,150.0326,26.79566,0.7847394771560576
2024-03-02 09:40:58,0.06892693,145.1429,26.95553,0.7809091702885137
2024-03-02 09:55:58,0.0632152,137.693,27.08452,0.8039161255748332
2024-03-02 10:10:58,0.06286659,137.2535,27.09361,0.8055234469692804
2024-03-02 10:25:58,0.06845498000000001,145.8855,26.89013,0.7922380844335842
2024-03-02 10:40:58,0.06944179,144.821,26.77567,0.7785953855641893
2024-03-02 10:55:58,0.06549988999999999,137.5611,26.9955,0.7776877017008479
