t,Q,P,Bar,Eta
2024-01-28 12:14:00,0.07276157000000001,153.4617,26.79566,0.7868193328714121
2024-01-28 12:29:00,0.07097028,149.9294,26.85743,0.786298359087511
2024-01-28 12:44:00,0.07112045,151.4748,26.86288,0.7925649407261295
2024-01-28 12:59:00,0.07238615,152.6203,26.82109,0.785817938339277
2024-01-28 13:14:00,0.0707504,146.4208,26.87741,0.7697115385705292
2024-01-28 13:29:00,0.07318526,155.0067,26.77567,0.7907296813251904
2024-01-28 13:44:00,0.07100246,149.7879,26.87741,0.7846165372321582
2024-01-28 13:59:00,0.07152267999999999,150.8997,26.86106,0.78516871625006
2024-01-28 14:14:00,0.07080402,147.9561,26.86288,0.7776137378360153
2024-01-28 14:29:00,0.04232045,95.44918,27.88027,0.8086609785200536
2024-01-28 14:44:00,0.024874189999999997,53.69182,28.47981,0.7576412781802636
2024-01-28 14:59:00,0.06123621,131.3393,27.36794,0.7834040672965015
2024-01-28 15:14:00,0.04130145,89.28673,27.873,0.7753172407744552
2024-01-28 15:29:00,0.043838209999999996,96.37144,27.93841,0.7865663929571971
2024-01-28 15:44:00,0.04673431,101.9415,27.66408,0.7882073680645176
2024-01-28 15:59:00,0.05225296,119.356,27.44788,0.8318903562459324
2024-01-28 16:14:00,0.07474056,157.2546,26.90466,0.781737670079726
2024-01-28 16:29:00,0.07454749,156.9874,26.74842,0.7870008022222528
2024-01-28 16:44:00,0.07263821,153.6655,26.81564,0.788614232709
2024-01-28 16:59:00,0.07581855,160.0781,26.68665,0.7908678554216612
2024-01-28 17:14:00,0.07218771,152.5346,26.75569,0.7894606440965871
2024-01-28 17:29:00,0.0743866,157.127,26.7466,0.7894580627574767
2024-01-28 17:44:00,0.07402727,155.6057,26.67938,0.7875888744566145
2024-01-28 17:59:00,0.07363576000000001,155.8322,26.81019,0.7890600835151377
2024-01-28 18:14:00,0.07415062,157.5076,26.83381,0.7913086706799773
2024-01-28 18:29:00,0.07289028,154.4867,26.80111,0.79051521650455
2024-01-28 18:44:00,0.07230034,152.5102,26.81382,0.7863961865566933
2024-01-28 18:59:00,0.07216626,152.2119,26.83926,0.7855709379646887
2024-01-28 19:14:00,0.07380737999999999,156.1596,26.75569,0.7904861786058955
2024-01-28 19:29:00,0.073019,153.8658,26.80111,0.7859501017638502
2024-01-28 19:44:00,0.07110436,148.8596,26.8756,0.7786889012809245
2024-01-28 19:59:00,0.07121699,150.3183,26.86469,0.7853946622486666
2024-01-28 20:14:00,0.07290637,153.8108,26.77204,0.7877373323573778
2024-01-28 20:29:00,0.07231107,152.7765,26.87014,0.786001503502738
2024-01-28 20:44:00,0.07043933,148.3791,26.9301,0.781917777923447
2024-01-28 20:59:00,0.07025699,148.6753,26.89921,0.7864141080971893
2024-01-28 21:14:00,0.07122771,149.8676,26.8756,0.7826041372618787
2024-01-28 21:29:00,0.07276693000000001,153.1201,26.83017,0.7840003642657077
2024-01-28 21:44:00,0.07102391,149.0468,26.89558,0.7799714429303174
2024-01-28 21:59:00,0.07386637,156.0623,26.75387,0.7894164481860154
2024-01-28 22:14:00,0.07077721,148.7006,26.81746,0.7831468002928431
2024-01-28 22:29:00,0.07186057,151.9906,26.84471,0.7876057761304268
2024-01-28 22:44:00,0.07234325,152.8775,26.81382,0.7878225444972716
2024-01-28 22:59:00,0.07024626,148.339,26.90466,0.7845961441893343
