t,Q,P,Bar,Eta
2025-09-16 17:49:05,0.05768581,126.3101,27.25893,0.8029746169173946
2025-09-16 18:04:05,0.05831866,127.1195,27.28255,0.7986586820178923
2025-09-16 18:19:05,0.058275759999999996,127.0266,27.27347,0.7989284166901827
2025-09-16 18:34:05,0.05848492,126.8412,27.26439,0.7951740412945463
2025-09-16 18:49:05,0.05856537,126.5875,27.21533,0.7939220506650202
2025-09-16 19:04:05,0.05838302,126.8939,27.2771,0.7965215511504887
2025-09-16 19:19:05,0.05865118,127.6048,27.26802,0.7975872276956365
2025-09-16 19:34:05,0.058672629999999996,127.4981,27.26257,0.7967882128027552
2025-09-16 19:49:05,0.05799687,125.7873,27.28437,0.7946206488314813
2025-09-16 20:04:05,0.05866727,127.4737,27.26075,0.7967617003014925
2025-09-16 20:19:05,0.0588228,127.3834,27.25893,0.7941451286579289
2025-09-16 20:34:05,0.05880135,127.7968,27.24804,0.7973315544151971
2025-09-16 20:49:05,0.05801296,126.5286,27.28074,0.7991882104628165
2025-09-16 21:04:05,0.058452739999999996,128.2566,27.22987,0.8055097817516912
2025-09-16 21:19:05,0.057793080000000004,125.9779,27.41336,0.7948730864017942
2025-09-16 21:34:05,0.05829185,127.1547,27.2662,0.7997265243434861
2025-09-16 21:49:05,0.05786279,125.6951,27.29527,0.7955603318731997
2025-09-16 22:04:05,0.05779844,126.6344,27.34796,0.8008518472268525
2025-09-16 22:19:05,0.057750169999999997,126.0091,27.29527,0.7991030449835949
2025-09-16 22:34:05,0.057144129999999994,125.5178,27.32071,0.8036801641727607
2025-09-16 22:49:05,0.05802905,126.5283,27.28437,0.7988584244379169
2025-09-16 23:04:05,0.05664,123.0301,27.3316,0.7944464224099704
2025-09-16 23:19:05,0.057717990000000004,127.1816,27.36612,0.804899015478848
2025-09-16 23:34:05,0.05696716,124.5067,27.31344,0.7998955671448886
2025-09-16 23:49:05,0.056559559999999995,120.7321,27.30072,0.7815993133820549
2025-09-17 00:04:05,0.01140738,17.60528,28.47254,0.5418416105125381
2025-09-17 00:19:05,0.01149319,17.85043,28.50888,0.5445897682270203
2025-09-17 00:34:05,0.01138056,17.67961,28.5107,0.5446816004894784
2025-09-17 00:49:05,0.01867442,36.30012,28.43802,0.6832869412935835
2025-09-17 01:04:05,0.06005631,132.6329,27.32434,0.8079499859153287
2025-09-17 01:19:05,0.06823507999999999,144.4826,26.80656,0.7896021001151231
2025-09-17 01:34:05,0.06477051,139.1284,27.04092,0.7940695603139487
2025-09-17 01:49:05,0.06589676,139.1873,27.06091,0.7802516381038849
2025-09-17 02:04:05,0.06518346,139.0359,27.03002,0.7888323512855991
2025-09-17 02:19:05,0.06502258000000001,138.8984,27.03184,0.7899488562928133
2025-09-17 02:34:05,0.06537654000000001,139.2202,27.02275,0.7877570802499205
2025-09-17 02:49:05,0.06450235000000001,139.1629,27.05909,0.7970329635636096
2025-09-17 03:04:05,0.06441118,139.3603,27.09542,0.7982215846538097
2025-09-17 03:19:05,0.06290950000000001,136.3072,27.10269,0.7991562550149112
2025-09-17 03:34:05,0.06335464,137.3768,27.179,0.797522661359925
2025-09-17 03:49:05,0.06433073,139.3308,27.06636,0.7999085422466317
2025-09-17 04:04:05,0.06354771000000001,137.8743,27.09361,0.8004939942874114
2025-09-17 04:19:05,0.06423419,139.2958,27.06091,0.8010708166996169
2025-09-17 04:34:05,0.06430392,139.3783,27.09724,0.7996025936605867
2025-09-17 04:49:05,0.06434145,139.2467,27.04637,0.7998832825867258
2025-09-17 05:04:05,0.06281833,136.3229,27.11904,0.7999257099530606
2025-09-17 05:19:05,0.06209431,134.6046,27.14629,0.7982504085380395
2025-09-17 05:34:05,0.06288805,136.6861,27.11359,0.8013287720354246
2025-09-17 05:49:05,0.06268961,135.8781,27.11904,0.7989528001964197
2025-09-17 06:04:05,0.06272179,136.004,27.05182,0.8012688988014455
2025-09-17 06:19:05,0.06279151000000001,136.2166,27.10451,0.8000720262857772
2025-09-17 06:34:05,0.06279688,136.3581,27.12268,0.8002981478559945
2025-09-17 06:49:05,0.06272179,135.8148,27.12086,0.7981173189539437
2025-09-17 07:04:05,0.06206213,134.7173,27.12994,0.7998147290231747
2025-09-17 07:19:05,0.06233565,135.1209,27.12631,0.7987977883940259
2025-09-17 07:34:05,0.06201922,134.3372,27.14448,0.7976823876328446
2025-09-17 07:49:05,0.0625019,135.74,27.0391,0.802904571531399
2025-09-17 08:04:05,0.06181006,134.311,27.1572,0.7998507645275925
2025-09-17 08:19:05,0.06303822,136.4921,27.12268,0.798017676880424
2025-09-17 08:34:05,0.06249117,136.2251,27.16991,0.8020322230147019
2025-09-17 08:49:05,0.06245364,135.415,27.0391,0.8016011361311843
2025-09-17 09:04:05,0.06157408,134.1163,27.05909,0.8046592022693759
2025-09-17 09:19:05,0.061606259999999996,134.0561,27.16446,0.8007596803875899
2025-09-17 09:34:05,0.06141319,133.7953,27.07362,0.8044043483452955
2025-09-17 09:49:05,0.06116648,132.761,27.17536,0.7984050182197651
2025-09-17 10:04:05,0.06122012,132.8466,27.17173,0.798326442340516
2025-09-17 10:19:05,0.06168671,134.8829,27.16265,0.8047012694152161
2025-09-17 10:34:05,0.0,0.0,28.78139,
2025-09-17 10:49:05,0.0,0.0,28.76141,
2025-09-17 11:04:05,0.0,0.0,28.78139,
2025-09-17 11:19:05,0.0,0.0,28.77958,
2025-09-17 11:34:05,0.0,0.0,28.78139,
2025-09-17 11:49:05,0.0491048,110.3285,27.52237,0.8160550854902576
2025-09-17 12:04:05,0.06277542,134.888,26.9519,0.7969587426538735
2025-09-17 12:19:05,0.06130056,133.4258,27.17173,0.8007549288403617
2025-09-17 12:34:05,0.060136760000000004,130.841,27.2117,0.7992629691228951
2025-09-17 12:49:05,0.05983106,130.5713,27.21533,0.8015838594234868
2025-09-17 13:04:05,0.060136760000000004,131.1421,27.20988,0.8011558698607529
2025-09-17 13:19:05,0.06065698,132.8217,27.20443,0.8046187661660653
2025-09-17 13:34:05,0.061198659999999995,133.243,27.18081,0.8007217623992103
2025-09-17 13:49:05,0.05990615,130.8344,27.27165,0.8005356194032746
2025-09-17 14:04:05,0.061048490000000004,132.666,27.17718,0.7993221636091414
2025-09-17 14:19:05,0.0603352,131.3643,27.21352,0.7997668824057897
2025-09-17 14:34:05,0.05975062,130.4126,27.22441,0.801420040288978
2025-09-17 14:49:05,0.06019576,132.388,27.27892,0.8059295589272193
2025-09-17 15:04:05,0.06058727,132.4198,27.19353,0.8034289819031291
2025-09-17 15:19:05,0.060222569999999996,131.3483,27.20988,0.8012722127261824
2025-09-17 15:34:05,0.05987397,130.6227,27.19353,0.8019670987490688
2025-09-17 15:49:05,0.05965945,130.3619,27.23713,0.8019580111603279
2025-09-17 16:04:05,0.06043173,130.3303,27.22441,0.7918873924732288
2025-09-17 16:19:05,0.06015822,130.8113,27.25712,0.7974654114193783
2025-09-17 16:34:05,0.06020648,130.8689,27.19716,0.7989345387938758
2025-09-17 16:49:05,0.05963799,130.8821,27.20807,0.8063081656252634
2025-09-17 17:04:05,0.05873162,127.1347,27.22623,0.7947785743152588
2025-09-17 17:19:05,0.05928403,128.8047,27.2226,0.7978218528155412
2025-09-17 17:34:05,0.05784671,126.1327,27.27892,0.7990305675978117
