t,Q,P,Bar,Eta
2025-04-29 00:00:00,1.9973,230.7549,1.4650999999999998,0.7882825249613494
2025-04-29 00:15:00,1.9959,230.8714,1.4641,0.7897727686467249
2025-04-29 00:30:00,1.9954,230.7805,1.4635,0.7899833768290306
2025-04-29 00:45:00,1.9886,230.9765,1.4655,0.7922752256493751
2025-04-29 01:00:00,1.9922,231.0087,1.464,0.7917642001888482
2025-04-29 01:15:00,1.9961,231.1858,1.4668,0.7893134379715616
2025-04-29 01:30:00,1.9922,231.4357,1.4656,0.7923617400824552
2025-04-29 01:45:00,1.9961,231.2061,1.4647,0.7905145163024184
2025-04-29 02:00:00,1.9943,231.1072,1.464,0.7912677171822845
2025-04-29 02:15:00,1.9957,231.4087,1.4661,0.7906101197756205
2025-04-29 02:30:00,1.9939,231.132,1.4661,0.7903776440356042
2025-04-29 02:45:00,1.9922,231.0647,1.4653999999999998,0.7911995242296275
2025-04-29 03:00:00,1.9951,231.1614,1.4641000000000002,0.791081893326329
2025-04-29 03:15:00,1.9951,231.1302,1.4658000000000002,0.7900577663596887
2025-04-29 03:30:00,1.991,230.8253,1.4664000000000001,0.7903168367904976
2025-04-29 03:45:00,1.9917,231.1866,1.4667,0.7911138360648363
2025-04-29 04:00:00,1.9929,231.016,1.4676,0.7895695423876214
2025-04-29 04:15:00,1.9908,231.2429,1.4681,0.7909092848219126
2025-04-29 04:30:00,1.9876,231.5862,1.4652,0.7949289545628196
2025-04-29 04:45:00,1.9946,231.5553,1.4658,0.7917092722748108
2025-04-29 05:00:00,1.9915,230.9677,1.4666000000000001,0.7904980368012868
2025-04-29 05:15:00,1.9959,231.1744,1.4662,0.7896766258953797
2025-04-29 05:30:00,1.9914,231.1959,1.4669,0.7911569621482588
2025-04-29 05:45:00,1.9911,231.3515,1.4680000000000002,0.7912153955128279
2025-04-29 06:00:00,1.9922,231.0579,1.4658,0.7909603371121079
2025-04-29 06:15:00,1.9917,230.7584,1.464,0.7911048671349967
2025-04-29 06:30:00,1.9957,231.2284,1.4664000000000001,0.7898325039442626
2025-04-29 06:45:00,1.9926,231.3671,1.4652,0.7921840693621058
2025-04-29 07:00:00,1.9946,231.251,1.4658000000000002,0.790668842055536
2025-04-29 07:15:00,1.9942,231.2407,1.4635,0.7920350012803506
2025-04-29 07:30:00,1.995,231.0922,1.4650999999999998,0.7903449018370157
2025-04-29 07:45:00,1.995,231.278,1.466,0.790494750509718
2025-04-29 08:00:00,1.99,231.7386,1.4653,0.7944385140308878
2025-04-29 08:15:00,1.9946,231.1014,1.4652,0.7904809153914945
2025-04-29 08:30:00,1.9893,230.6939,1.4657,0.7909194907808178
2025-04-29 08:45:00,1.9914,230.6622,1.4647,0.7905162158550101
2025-04-29 09:00:00,1.9907,230.5537,1.4664000000000001,0.7895058737084744
2025-04-29 09:15:00,1.9922,230.6801,1.4662000000000002,0.7894516150682097
2025-04-29 09:30:00,1.9882,230.6884,1.4679000000000002,0.7901522014405554
2025-04-29 09:45:00,1.99,230.4622,1.4684000000000001,0.7883948679887042
2025-04-29 10:00:00,1.9952,230.9779,1.468,0.7883144262710974
2025-04-29 10:15:00,1.9958,230.9309,1.4674,0.7882392427866727
2025-04-29 10:30:00,1.9889,230.8637,1.4673,0.7907975659540408
2025-04-29 10:45:00,1.9916,230.6522,1.47,0.7875528119239009
2025-04-29 11:00:00,1.9931,230.2614,1.4674,0.7870187415083711
2025-04-29 11:15:00,1.9965,230.4157,1.4661,0.7869020863937968
2025-04-29 11:30:00,1.9971,230.6524,1.4649,0.7881188677247852
