t,Q,P,Bar,Eta
2024-04-01 00:00:00,0.007,0.0,0.0401,0.0
2024-04-01 00:15:00,0.0069,0.0,0.039599999999999996,0.0
2024-04-01 00:30:00,0.007,0.0,0.039599999999999996,0.0
2024-04-01 00:45:00,0.0068,0.0,0.039599999999999996,0.0
2024-04-01 01:00:00,0.0068,0.0,0.039400000000000004,0.0
2024-04-01 01:15:00,0.007,0.0,0.0402,0.0
2024-04-01 01:30:00,0.0069,0.0,0.0398,0.0
2024-04-01 01:45:00,0.0069,0.0,0.0402,0.0
2024-04-01 02:00:00,0.0069,0.0,0.039900000000000005,0.0
2024-04-01 02:15:00,0.0068,0.0,0.0398,0.0
2024-04-01 02:30:00,0.0068,0.0,0.039599999999999996,0.0
2024-04-01 02:45:00,0.0069,0.0,0.0399,0.0
2024-04-01 03:00:00,0.0071,0.0,0.04,0.0
2024-04-01 03:15:00,0.0072,0.0,0.0398,0.0
2024-04-01 03:30:00,0.0069,0.0,0.0402,0.0
2024-04-01 03:45:00,0.007,0.0,0.0399,0.0
2024-04-01 04:00:00,0.0067,0.0,0.0403,0.0
2024-04-01 04:15:00,0.0066,0.0,0.0405,0.0
2024-04-01 04:30:00,0.0068,0.0,0.0403,0.0
2024-04-01 04:45:00,0.0069,0.0,0.0401,0.0
2024-04-01 05:00:00,0.0069,0.0,0.0402,0.0
2024-04-01 05:15:00,0.0065,0.0,0.041,0.0
2024-04-01 05:30:00,0.0068,0.0,0.0408,0.0
2024-04-01 05:45:00,0.0068,0.0,0.0409,0.0
2024-04-01 06:00:00,0.0067,0.0,0.0406,0.0
2024-04-01 06:15:00,0.0066,0.0,0.0409,0.0
2024-04-01 06:30:00,0.0064,0.0,0.0408,0.0
2024-04-01 06:45:00,0.0065,0.0,0.0403,0.0
2024-04-01 07:00:00,0.0065,0.0,0.0404,0.0
2024-04-01 07:15:00,0.0065,0.0,0.0408,0.0
2024-04-01 07:30:00,0.0064,0.0,0.0403,0.0
2024-04-01 07:45:00,0.0065,0.0,0.0401,0.0
2024-04-01 08:00:00,0.0065,0.0,0.0403,0.0
2024-04-01 08:15:00,0.0064,0.0,0.0403,0.0
2024-04-01 08:30:00,0.0065,0.0,0.0402,0.0
2024-04-01 08:45:00,0.0065,0.0,0.039400000000000004,0.0
2024-04-01 09:00:00,0.0065,0.0,0.03949999999999999,0.0
2024-04-01 09:15:00,0.0065,0.0,0.0394,0.0
2024-04-01 09:30:00,0.0063,0.0,0.0394,0.0
2024-04-01 09:45:00,0.0063,0.0,0.0391,0.0
2024-04-01 10:00:00,0.0063,0.0,0.0397,0.0
2024-04-01 10:15:00,0.0064,0.0,0.0398,0.0
2024-04-01 10:30:00,0.0063,0.0,0.0395,0.0
2024-04-01 10:45:00,0.0064,0.0,0.039599999999999996,0.0
2024-04-01 11:00:00,0.0063,0.0,0.03900000000000001,0.0
2024-04-01 11:15:00,0.0064,0.0,0.0384,0.0
2024-04-01 11:30:00,0.0065,0.0,0.0378,0.0
2024-04-01 11:45:00,0.0065,0.0,0.037899999999999996,0.0
2024-04-01 12:00:00,0.0065,0.0,0.038,0.0
2024-04-01 12:15:00,0.0064,0.0,0.0378,0.0
2024-04-01 12:30:00,0.0065,0.0,0.037899999999999996,0.0
2024-04-01 12:45:00,0.0066,0.0,0.037500000000000006,0.0
2024-04-01 13:00:00,0.0065,0.0,0.037500000000000006,0.0
2024-04-01 13:15:00,0.0066,0.0,0.0374,0.0
2024-04-01 13:30:00,0.0066,0.0,0.0374,0.0
2024-04-01 13:45:00,0.0067,0.0,0.0374,0.0
2024-04-01 14:00:00,0.0066,0.0,0.0372,0.0
2024-04-01 14:15:00,0.0068,0.0,0.0374,0.0
2024-04-01 14:30:00,0.0066,0.0,0.0379,0.0
2024-04-01 14:45:00,0.0073,0.0,0.0377,0.0
2024-04-01 15:00:00,0.0078,0.0,0.0372,0.0
2024-04-01 15:15:00,0.0083,0.0,0.0373,0.0
2024-04-01 15:30:00,0.0081,0.0,0.0374,0.0
2024-04-01 15:45:00,0.0071,0.0,0.0368,0.0
2024-04-01 16:00:00,0.007,0.0,0.036699999999999997,0.0
2024-04-01 16:15:00,0.0068,0.0,0.037599999999999995,0.0
2024-04-01 16:30:00,0.0065,0.0,0.0368,0.0
2024-04-01 16:45:00,0.006,0.0,0.0364,0.0
2024-04-01 17:00:00,0.0057,0.0,0.036,0.0
2024-04-01 17:15:00,0.0057,0.0,0.0358,0.0
2024-04-01 17:30:00,0.0065,0.0,0.035500000000000004,0.0
2024-04-01 17:45:00,0.0054,0.0,0.037099999999999994,0.0
2024-04-01 18:00:00,0.0061,0.0,0.0371,0.0
2024-04-01 18:15:00,0.0063,0.0,0.0373,0.0
2024-04-01 18:30:00,0.0066,0.0,0.0379,0.0
2024-04-01 18:45:00,0.0061,0.0,0.037899999999999996,0.0
2024-04-01 19:00:00,0.0064,0.0,0.0378,0.0
2024-04-01 19:15:00,0.0066,0.0,0.0376,0.0
2024-04-01 19:30:00,0.0071,0.0,0.0379,0.0
2024-04-01 19:45:00,0.0068,0.0,0.0374,0.0
2024-04-01 20:00:00,0.0082,0.0,0.0379,0.0
2024-04-01 20:15:00,0.0079,0.0,0.0386,0.0
2024-04-01 20:30:00,0.0079,0.0,0.0391,0.0
2024-04-01 20:45:00,0.0074,0.0,0.0392,0.0
2024-04-01 21:00:00,0.0075,0.0,0.039,0.0
2024-04-01 21:15:00,0.0073,0.0,0.039200000000000006,0.0
2024-04-01 21:30:00,0.0074,0.0,0.0391,0.0
2024-04-01 21:45:00,0.0073,0.0,0.039,0.0
2024-04-01 22:00:00,0.0072,0.0,0.038900000000000004,0.0
2024-04-01 22:15:00,0.0074,0.0,0.038700000000000005,0.0
2024-04-01 22:30:00,0.0074,0.0,0.038,0.0
2024-04-01 22:45:00,0.0076,0.0,0.038099999999999995,0.0
2024-04-01 23:00:00,0.0075,0.0,0.0385,0.0
2024-04-01 23:15:00,0.0075,0.0,0.0383,0.0
2024-04-01 23:30:00,0.0074,0.0,0.0389,0.0
2024-04-01 23:45:00,0.0073,0.0,0.0385,0.0
2024-04-02 00:00:00,0.0074,0.0,0.0387,0.0
2024-04-02 00:15:00,0.0072,0.0,0.0377,0.0
2024-04-02 00:30:00,0.0072,0.0,0.0378,0.0
2024-04-02 00:45:00,0.0073,0.0,0.039200000000000006,0.0
2024-04-02 01:00:00,0.0074,0.0,0.0388,0.0
2024-04-02 01:15:00,0.0072,0.0,0.039,0.0
2024-04-02 01:30:00,0.0071,0.0,0.0385,0.0
