t,I,P,TMod,Eta
2025-02-10 00:00:00,,6.86111,,
2025-02-10 00:05:00,,10.2917,,
2025-02-10 00:10:00,,8.15331,,
2025-02-10 00:15:00,,6.31944,,
2025-02-10 00:20:00,,6.31944,,
2025-02-10 00:25:00,,7.0662,,
2025-02-10 00:30:00,,10.2014,,
2025-02-10 00:35:00,,8.03472,,
2025-02-10 00:40:00,,6.25087,,
2025-02-10 00:45:00,,6.22917,,
2025-02-10 00:50:00,,7.3125,,
2025-02-10 00:55:00,,10.3275,,
2025-02-10 01:00:00,,7.58333,,
2025-02-10 01:05:00,,6.34146,,
2025-02-10 01:10:00,,6.13889,,
2025-02-10 01:15:00,,6.31944,,
2025-02-10 01:20:00,,10.9617,,
2025-02-10 01:25:00,,7.94444,,
2025-02-10 01:30:00,,6.22917,,
2025-02-10 01:35:00,,6.34146,,
2025-02-10 01:40:00,,6.5,,
2025-02-10 01:45:00,,9.93056,,
2025-02-10 01:50:00,,8.78746,,
2025-02-10 01:55:00,,6.31944,,
2025-02-10 02:00:00,,6.31944,,
2025-02-10 02:05:00,,6.25087,,
2025-02-10 02:10:00,,6.22917,,
2025-02-10 02:15:00,,9.29861,,
2025-02-10 02:20:00,,9.69338,,
2025-02-10 02:25:00,,6.31944,,
2025-02-10 02:30:00,,6.34146,,
2025-02-10 02:35:00,,6.22917,,
2025-02-10 02:40:00,,6.31944,,
2025-02-10 02:45:00,,8.42509,,
2025-02-10 02:50:00,,10.0208,,
2025-02-10 02:55:00,,6.86111,,
2025-02-10 03:00:00,,6.34146,,
2025-02-10 03:05:00,,6.31944,,
2025-02-10 03:10:00,,6.31944,,
2025-02-10 03:15:00,,7.51916,,
2025-02-10 03:20:00,,9.93056,,
2025-02-10 03:25:00,,7.76389,,
2025-02-10 03:30:00,,6.34146,,
2025-02-10 03:35:00,,6.22917,,
