t,I,P,TMod,Eta
2024-01-01 00:00:00,0.0,12.4583,0.0005,inf
2024-01-01 00:05:00,0.0,12.5923,0.0005,inf
2024-01-01 00:10:00,0.0,13.5417,0.0005,inf
2024-01-01 00:15:00,0.0,14.625,0.0005,inf
2024-01-01 00:20:00,0.0,15.3519,0.0005,inf
2024-01-01 00:25:00,0.0,13.3507,0.0005,inf
2024-01-01 00:30:00,0.0,12.6389,0.0005,inf
2024-01-01 00:35:00,0.0,12.6829,0.0005,inf
2024-01-01 00:40:00,30.5948,14.625,4.1957,11.950560225920745
2024-01-01 00:45:00,103.6041,14.625,7.967,3.5290591781599376
2024-01-01 00:50:00,168.2936,14.5347,11.5555,2.1591284517058282
2024-01-01 00:55:00,218.8944,12.6389,14.5461,1.4434928440380383
2024-01-01 01:00:00,212.6953,12.4583,15.0735,1.464336541522074
2024-01-01 01:05:00,166.8995,13.2265,13.7038,1.9812072534669067
2024-01-01 01:10:00,113.4069,14.4444,11.6348,3.184197786907146
2024-01-01 01:15:00,53.2999,14.625,8.9106,6.8597689676716085
2024-01-01 01:20:00,1.3051,14.1736,0.0005,271.5040993027354
2024-01-01 01:25:00,0.0,12.5923,0.0005,inf
2024-01-01 01:30:00,0.0,12.5486,0.0005,inf
2024-01-01 01:35:00,0.0,13.2708,0.0005,inf
2024-01-01 01:40:00,0.0,14.5854,0.0005,inf
2024-01-01 01:45:00,0.0,14.7153,0.0005,inf
2024-01-01 01:50:00,0.0,14.1736,0.0005,inf
2024-01-01 01:55:00,0.0,12.4583,0.0005,inf
2024-01-01 02:00:00,0.0,12.2778,0.0005,inf
2024-01-01 02:05:00,0.0,13.9512,0.0005,inf
2024-01-01 02:10:00,0.0,14.7153,0.0005,inf
2024-01-01 02:15:00,0.0,14.5347,0.0005,inf
2024-01-01 02:20:00,0.0,13.3611,0.0005,inf
2024-01-01 02:25:00,0.0,12.6829,0.0005,inf
2024-01-01 02:30:00,0.0,12.6389,0.0005,inf
2024-01-01 02:35:00,0.0,14.3542,0.0005,inf
2024-01-01 02:40:00,18.4933,14.4444,4.9268,19.526531230229324
2024-01-01 02:45:00,59.7066,14.5854,7.1147,6.107113786415572
2024-01-01 02:50:00,94.7949,13.0903,9.1011,3.4522690566686607
2024-01-01 02:55:00,111.8052,12.6389,10.2991,2.826098428337859
