t,I,P,TMod,Eta
2024-12-15 07:40:00,,45.5451,,
2024-12-15 07:45:00,,283.084,,
2024-12-15 07:50:00,,431.524,,
2024-12-15 07:55:00,,587.448,,
2024-12-15 08:00:00,,721.868,,
2024-12-15 08:05:00,,1027.17,,
2024-12-15 08:10:00,,1490.94,,
2024-12-15 08:15:00,,2007.03,,
2024-12-15 08:20:00,,2396.09,,
2024-12-15 08:25:00,,2939.89,,
2024-12-15 08:30:00,,3583.13,,
2024-12-15 08:35:00,,4326.67,,
2024-12-15 08:40:00,,4881.01,,
2024-12-15 08:45:00,,5604.09,,
2024-12-15 08:50:00,,5999.16,,
2024-12-15 08:55:00,,6348.86,,
2024-12-15 09:00:00,,6437.57,,
2024-12-15 09:05:00,,6123.59,,
2024-12-15 09:10:00,,5518.3,,
2024-12-15 09:15:00,,5093.2,,
2024-12-15 09:20:00,,5302.7,,
2024-12-15 09:25:00,,5854.97,,
2024-12-15 09:30:00,,6528.31,,
2024-12-15 09:35:00,,7221.72,,
2024-12-15 09:40:00,,7728.68,,
2024-12-15 09:45:00,,8378.39,,
2024-12-15 09:50:00,,9333.36,,
2024-12-15 09:55:00,,9821.41,,
2024-12-15 10:00:00,,10444.1,,
2024-12-15 10:05:00,,10887.4,,
2024-12-15 10:10:00,,11297.6,,
2024-12-15 10:15:00,,11898.6,,
2024-12-15 10:20:00,,12142.0,,
2024-12-15 10:25:00,,12838.6,,
2024-12-15 10:30:00,,13093.2,,
2024-12-15 10:35:00,,14016.7,,
2024-12-15 10:40:00,,14745.9,,
2024-12-15 10:45:00,,15400.4,,
2024-12-15 10:50:00,,15785.8,,
2024-12-15 10:55:00,,16002.5,,
2024-12-15 11:00:00,,16430.0,,
2024-12-15 11:05:00,,16970.1,,
2024-12-15 11:10:00,,17395.8,,
2024-12-15 11:15:00,,17520.0,,
2024-12-15 11:20:00,,18000.4,,
2024-12-15 11:25:00,,18150.4,,
2024-12-15 11:30:00,,18689.0,,
2024-12-15 11:35:00,,18741.8,,
2024-12-15 11:40:00,,19039.4,,
2024-12-15 11:45:00,,19101.8,,
2024-12-15 11:50:00,,20112.9,,
2024-12-15 11:55:00,,20016.8,,
2024-12-15 12:00:00,,19694.0,,
2024-12-15 12:05:00,,19411.8,,
2024-12-15 12:10:00,,19008.5,,
2024-12-15 12:15:00,,19241.7,,
2024-12-15 12:20:00,,19065.7,,
2024-12-15 12:25:00,,19474.2,,
2024-12-15 12:30:00,,19546.7,,
2024-12-15 12:35:00,,19390.2,,
2024-12-15 12:40:00,,19402.6,,
2024-12-15 12:45:00,,19139.1,,
2024-12-15 12:50:00,,18768.8,,
2024-12-15 12:55:00,,19302.9,,
2024-12-15 13:00:00,,20569.8,,
2024-12-15 13:05:00,,20781.9,,
2024-12-15 13:10:00,,20244.5,,
2024-12-15 13:15:00,,22125.1,,
2024-12-15 13:20:00,,24361.5,,
2024-12-15 13:25:00,,24655.5,,
2024-12-15 13:30:00,,23557.9,,
2024-12-15 13:35:00,,20418.3,,
2024-12-15 13:40:00,,19545.3,,
2024-12-15 13:45:00,,18002.5,,
2024-12-15 13:50:00,,16588.4,,
2024-12-15 13:55:00,,15397.3,,
2024-12-15 14:00:00,,14528.6,,
2024-12-15 14:05:00,,13094.3,,
2024-12-15 14:10:00,,10149.0,,
2024-12-15 14:15:00,,7447.02,,
2024-12-15 14:20:00,,8503.09,,
2024-12-15 14:25:00,,8875.64,,
2024-12-15 14:30:00,,8318.1,,
2024-12-15 14:35:00,,7727.62,,
2024-12-15 14:40:00,,7462.13,,
2024-12-15 14:45:00,,7021.51,,
2024-12-15 14:50:00,,6562.54,,
2024-12-15 14:55:00,,5861.18,,
2024-12-15 15:00:00,,5507.58,,
2024-12-15 15:05:00,,4939.03,,
2024-12-15 15:10:00,,4626.22,,
2024-12-15 15:15:00,,4209.64,,
2024-12-15 15:20:00,,3960.65,,
2024-12-15 15:25:00,,3464.68,,
2024-12-15 15:30:00,,3087.01,,
2024-12-15 15:35:00,,2725.53,,
2024-12-15 15:40:00,,2458.9,,
2024-12-15 15:45:00,,2237.75,,
2024-12-15 15:50:00,,1920.38,,
2024-12-15 15:55:00,,1584.74,,
2024-12-15 16:00:00,,1325.7,,
2024-12-15 16:05:00,,1060.25,,
2024-12-15 16:10:00,,886.253,,
2024-12-15 16:15:00,,716.767,,
2024-12-15 16:20:00,,517.655,,
2024-12-15 16:25:00,,342.184,,
2024-12-15 16:30:00,,207.563,,
2024-12-15 16:35:00,,125.223,,
2024-12-15 16:40:00,,48.0451,,
2024-12-15 16:45:00,,6.80556,,
2024-12-15 16:50:00,,0.0,,
2024-12-15 16:55:00,,0.0,,
2024-12-15 17:00:00,,0.0,,
2024-12-15 17:05:00,,0.0,,
2024-12-15 17:10:00,,0.0,,
2024-12-15 17:15:00,,0.0,,
2024-12-15 17:20:00,,0.0,,
2024-12-15 17:25:00,,0.0,,
2024-12-15 17:30:00,,0.0,,
2024-12-15 17:35:00,,0.0,,
2024-12-15 17:40:00,,0.0,,
2024-12-15 17:45:00,,0.0,,
2024-12-15 17:50:00,,0.0,,
2024-12-15 17:55:00,,0.0,,
2024-12-15 18:00:00,,6.31944,,
2024-12-15 18:05:00,,0.0,,
2024-12-15 18:10:00,,0.0,,
2024-12-15 18:15:00,,0.0,,
2024-12-15 18:20:00,,0.0,,
2024-12-15 18:25:00,,0.0,,
2024-12-15 18:30:00,,0.0,,
2024-12-15 18:35:00,,0.0,,
2024-12-15 18:40:00,,0.0,,
2024-12-15 18:45:00,,0.0,,
2024-12-15 18:50:00,,0.0,,
2024-12-15 18:55:00,,0.0,,
2024-12-15 19:00:00,,0.0,,
2024-12-15 19:05:00,,0.0,,
2024-12-15 19:10:00,,0.0,,
2024-12-15 19:15:00,,0.0,,
2024-12-15 19:20:00,,0.0,,
2024-12-15 19:25:00,,0.0,,
2024-12-15 19:30:00,,0.0,,
2024-12-15 19:35:00,,0.0,,
2024-12-15 19:40:00,,0.0,,
2024-12-15 19:45:00,,0.0,,
2024-12-15 19:50:00,,0.0,,
2024-12-15 19:55:00,,0.0,,
2024-12-15 20:00:00,,0.0,,
2024-12-15 20:05:00,,0.0,,
2024-12-15 20:10:00,,0.0,,
2024-12-15 20:15:00,,0.0,,
2024-12-15 20:20:00,,0.0,,
2024-12-15 20:25:00,,0.0,,
2024-12-15 20:30:00,,0.0,,
2024-12-15 20:35:00,,0.0,,
2024-12-15 20:40:00,,0.0,,
2024-12-15 20:45:00,,0.0,,
2024-12-15 20:50:00,,0.0,,
2024-12-15 20:55:00,,0.0,,
2024-12-15 21:00:00,,0.0,,
2024-12-15 21:05:00,,0.0,,
2024-12-15 21:10:00,,0.0,,
2024-12-15 21:15:00,,0.0,,
2024-12-15 21:20:00,,0.0,,
2024-12-15 21:25:00,,0.0,,
2024-12-15 21:30:00,,0.0,,
2024-12-15 21:35:00,,0.0,,
2024-12-15 21:40:00,,0.0,,
2024-12-15 21:45:00,,0.0,,
2024-12-15 21:50:00,,0.0,,
2024-12-15 21:55:00,,0.0,,
2024-12-15 22:00:00,,0.0,,
2024-12-15 22:05:00,,0.0,,
2024-12-15 22:10:00,,0.0,,
2024-12-15 22:15:00,,0.0,,
2024-12-15 22:20:00,,0.0,,
2024-12-15 22:25:00,,0.0,,
2024-12-15 22:30:00,,6.34146,,
2024-12-15 22:35:00,,0.0,,
2024-12-15 22:40:00,,0.0,,
2024-12-15 22:45:00,,0.0,,
2024-12-15 22:50:00,,0.0,,
2024-12-15 22:55:00,,0.0,,
2024-12-15 23:00:00,,0.0,,
2024-12-15 23:05:00,,0.0,,
2024-12-15 23:10:00,,0.0,,
2024-12-15 23:15:00,,0.0,,
2024-12-15 23:20:00,,0.0,,
2024-12-15 23:25:00,,0.0,,
2024-12-15 23:30:00,,0.0,,
2024-12-15 23:35:00,,0.0,,
2024-12-15 23:40:00,,0.0,,
2024-12-15 23:45:00,,0.0,,
2024-12-15 23:50:00,,0.0,,
2024-12-15 23:55:00,,0.0,,
2024-12-16 00:00:00,,0.0,,
2024-12-16 00:05:00,,0.0,,
2024-12-16 00:10:00,,3.44251,,
2024-12-16 00:15:00,,2.79861,,
2024-12-16 00:20:00,,0.0,,
2024-12-16 00:25:00,,0.0,,
2024-12-16 00:30:00,,0.0,,
2024-12-16 00:35:00,,0.0,,
2024-12-16 00:40:00,,0.0,,
2024-12-16 00:45:00,,0.0,,
2024-12-16 00:50:00,,0.0,,
2024-12-16 00:55:00,,0.0,,
2024-12-16 01:00:00,,0.0,,
2024-12-16 01:05:00,,0.0,,
